GADHINGLAJ PHARMA LLP,,,,,,,,,,,,,,,,,
HETERO (DERMA GLOW),,,,,,,,,,,,,,,,,
Stock And Sales for the period 01-06-2026 to 30-06-2026,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Product Name,Pack,Rate,Previous Last Sale,Previous Sale,Opening,Receipt,Sales,Free,Sales RTN,Sale Value,Purchase RTN,Others,Closing,Cl Value,expQty,nonMoveQty,Flag
ADABOR GEL,15 GM,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
BILASET 40 MG TAB ,10''S,121.43,9,9,18,0,6,1,0,729,0,0,11,1336,0,0,
,,,,,,,,,,,,,,,,,
BORIT-SB-130MG CAP,10S,178.57,0,13,4,0,4,0,0,714,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
BORIT-SB-65MG CAP,10S,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
HETERONOX 1% CREAM,10 GM,160.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
HETERONOX CREAM,5GM,96.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
MOISTE LOTION ,100 ML,202.71,27,15,48,0,7,0,1,1419,0,0,41,8311,0,0,
,,,,,,,,,,,,,,,,,
NAFBOR CREAM 10 GM,10GM,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
NAFBOR CREAM 30 GM,30 GM,339.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
SPARKEL FACE MASK,1 S,67.12,3,0,12,0,0,0,0,0,0,0,12,805,0,0,**
,,,,,,,,,,,,,,,,,
SPARKEL GLOW FACIAL MASK,1,101.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,,
SPARKEL YOUTH,1,101.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,,
TOFUS 5 MG TAB,10 TAB,260.57,12,18,0,75,5,1,0,1303,0,0,69,17979,0,0,**
,,,,,,,,,,,,,,,,,
ZEBOR GEL,15GM,117.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,,
----Total----->>,,0,9041,9482,13436,13028,4367,0,203,4165,0,0,28432,28431.61,0,0,
