Hira Agencies,,,,,,,,,,,,,,
HETERO HEALTHCARE LTD DERMAGLOW DIV,,,,,,,,,,,,,,
Stock And Sales for the period 01-06-2026 to 30-06-2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Flag,Product Name,Pack,Rate,Previous Last Sale,Previous Sale,Opening,Receipt,Sales,Sales RTN,Sale Value,Purchase RTN,Others,Closing,Cl Value
,ADABOR 0.1% GEL,20GM,285,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
,BILASET 40MG TAB,10 TAB,121.37,26,13,54,0,20,0,2185,0,0,34,4127
,,,,,,,,,,,,,,
,BORIT SB 130MG CAP,10CAP,178.57,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
,BORIT SB 65MG,10CAP,100,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
,HETERONOX 1% CREAM,5GM,96.43,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
,HETERONOX 1% CREAM 10GM,10GM,160.71,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
**,MINOSTRONG-F SOLUTION,60ML,684.95,0,0,12,0,0,0,0,0,0,12,8219
,,,,,,,,,,,,,,
**,MOISTE LOTION 100ML,100ML,202.71,0,0,5,0,0,0,0,0,0,5,1014
,,,,,,,,,,,,,,
**,NAFBOR CREAM 10GM,10GM,124.95,1,2,1,0,0,0,0,0,0,1,125
,,,,,,,,,,,,,,
**,NAFBOR CREAM 30GM,30GM,339.24,15,15,39,0,18,0,5496,0,0,21,7124
,,,,,,,,,,,,,,
**,SPARKEL GLOW MASK,1PACK,101.69,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
**,SPARKEL YOUTH MASK,1PACK,101.69,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
**,TOFUS TAB,10TAB,260.57,96,18,282,0,99,0,18526,0,0,183,47684
,,,,,,,,,,,,,,
**,ZEBOR 10% GEL,15GM,107.14,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
**,ZEBOR 20% GEL,15GM,150.71,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
,----Total----->>,,0,23479,10446,102623,0,26206,0,26206,0,0,68293,68292.83
