SUSHIL PHARMA LLP,,,,,,,,,,,,,,,,,
HETERO DERMA GLOW,,,,,,,,,,,,,,,,,
Stock And Sales for the period 01-06-2026 to 30-06-2026,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Product Name,Pack,Rate,Previous Last Sale,Previous Sale,Opening,Receipt,Sales,Free,Sales RTN,Sale Value,Purchase RTN,Others,Closing,Cl Value,expQty,nonMoveQty,Flag
ADABOR GEL,15GM,264.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
BILASET 40 TAB,10''S,121.37,31,53,46,65,26,7,0,2840,0,0,78,7889,0,0,
,,,,,,,,,,,,,,,,,
BORIT-SB  65 CAP,10''S,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
BORIT-SB 130 CAP,10''S,178.57,14,1,210,0,4,0,0,643,150,0,56,8333,0,0,
,,,,,,,,,,,,,,,,,
HETERONOX 1% CREAM,5GM,96.38,81,34,109,0,57,7,0,4944,0,0,45,3470,0,0,
,,,,,,,,,,,,,,,,,
HETERONOX 1% CREAM 10GM,10GM,160.57,21,-70,633,0,5,0,0,723,540,0,88,11304,88,0,
,,,,,,,,,,,,,,,,,
MINOSTRONG 5% SOLUTION ,60ML,607.05,1,0,21,0,0,0,0,0,18,0,3,1821,0,0,**
,,,,,,,,,,,,,,,,,
MINOSTRONG F SOLUTION,60ML,684.95,0,1,11,0,1,0,0,616,6,0,4,2283,0,0,**
,,,,,,,,,,,,,,,,,
MOISTE CRM 100GM,100GM,222.71,1,1,50,0,2,0,0,401,0,0,48,10690,0,0,**
,,,,,,,,,,,,,,,,,
MOISTE LOTION,100ML,202.71,68,28,18,170,56,10,1,10217,0,0,122,20609,0,0,**
,,,,,,,,,,,,,,,,,
NAFBOR  CRM 10GM,10GM,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,,
NAFBOR CRM,30GM,339.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,,
SPARKEL FACIAL MASK ,1''S,67.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,,
SPARKEL YOUTH FACIAL MASK,1''S,101.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,,
TOFUS TAB,10''S,260.57,235,241,45,450,185,90,0,43384,0,0,220,57325,0,0,**
,,,,,,,,,,,,,,,,,
TREBOR 0.025% CREAM,20GM,102.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,,
TREBOR 0.05% CREAM,20GM,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,,
ZEBOR 10% CREAM,15GM,117.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,,
----Total----->>,,0,62491,43158,170548,104510,63950,0,182,63768,128530,0,123725,123724.78,12716.88,0,
