ASHOK MEDICAL AGENCIES
GENX PHARMA LTD
Stock And Sales for the period 01-05-2026 to 31-05-2026

Flag,Product Name,Pack,Rate,Previous Last Sale,Previous Sale,Opening,Receipt,Sales,Sales RTN,Sale Value,Purchase RTN,Others,Closing,Cl Value,expQty,nonMooveQty
,ACOTOP ER TAB,10,213.57,0,0,0,0,0,0,0,0,0,0,0,0,0

,AD -100 CAPS,10''S,97.52,106,175,156,50,159,0,13955,0,0,47,4583,0,0

,AD -EE 10MG,1GM,10.29,180,345,375,0,195,0,1806,0,0,180,1852,0,0

,ADABOR CREAM,15GM,264.29,0,0,0,0,0,0,0,0,0,0,0,0,0

,BILASET 20MG TAB,10,85.71,0,0,0,0,0,0,0,0,0,0,0,0,0

,BILASET M TAB,10''S,77.79,58,40,193,0,31,0,1680,0,0,162,9694,0,0

,BIXIVA 5MG TAB ,10''S,167.62,0,0,20,0,10,0,1358,0,0,10,1509,0,0

,BORIT SB-65 CAP,10''S,100,0,15,45,0,15,0,900,0,0,30,2000,30,0

,FX 24- 120MG TAB,10''S,54.21,0,0,0,0,0,0,0,0,0,0,0,0,0

,FX 24 SYRUP,60ML,51.07,0,0,0,0,0,0,0,0,0,0,0,0,0

,FX 24-180MG TAB,10''S,63.57,0,0,0,0,0,0,0,0,0,0,0,0,0

,GENX VAST 10MG,10''S,13.02,0,0,0,0,0,0,0,0,0,0,0,0,0

,GENX VAST 20MG,10''S,14.85,0,0,0,0,0,0,0,0,0,0,0,0,0

,GENX VAST-F,10''S,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0

,GOCAN 150MG(GENX),1''S,9.37,60,273,144,100,252,0,1430,0,0,42,262,0,0

,HEADRIX TAB,2''S,113.52,0,0,10,0,10,0,1022,0,0,0,0,0,0

,HETERONOX CREAM 1%,10GM,160.71,0,0,0,0,0,0,0,0,0,0,0,0,0

,HETERONOX CREAM 1%,5GM,96.38,13,0,64,0,5,0,434,0,0,59,4739,0,0

,ITBOR 100MG CAP,7''S(2),66.59,30,30,85,0,45,0,1798,0,0,40,1776,0,0
