@
          CHARU ENTERPRISE *           
                             158/1, K.C.GHOSH ROAD                             

Page No.1   ,Sales & Stock Statement(From 01/05/2026 Upto 31/05/2026), Jun  1,2026

GENX PHARMA
----------
PRODUCT NAME        ,Tax     ,PACKING   , Op.Bal., Receipt,   Total,   Issue, Closing,     Dump,     Near,
                    ,Rate    ,          ,    Qty.,    Qty.,    Qty.,    Qty., Balance,    Stock,   Expiry,
----------
AD-100MG CAP        ,  5.00  ,10S       ,      13,       0,      13,       6,       7,        7,        0,
BILASET-M TAB       ,  5.00  ,10S       ,      14,      20,      34,      14,      20,        0,        0,
FAS-3 KIT           ,  5.00  ,4S        ,      50,       0,      50,       4,      46,       46,        0,
FLUVIR 75MG CAP     ,  5.00  ,10S       ,      57,       0,      57,      11,      46,       46,        0,
FLUVIR DRY SYRUP    ,  5.00  ,75ML      ,      11,       5,      16,       7,       9,        4,        0,
FLUVIR JUNIOR SUS   ,  5.00  ,30ML      ,       0,       8,       8,       3,       5,        0,        0,
GENXVAST 10MG TAB # ,  5.00  ,10S       ,     406,     400,     806,     360,     446,        0,        0,
GENXVAST 20MG TAB   ,  5.00  ,10S       ,     200,     100,     300,     118,     182,        0,        0,
GENXVAST F TAB      ,  5.00  ,10S       ,      58,      80,     138,      45,      93,       13,        0,
LANOL ER TAB        ,  5.00  ,10S       ,      54,     100,     154,      54,     100,        0,        0,
LAZ-500MG TAB       ,  5.00  ,6S        ,      51,       0,      51,       0,      51,       51,        0,
LAZINE M TAB        ,  5.00  ,10S       ,      48,      65,     113,      24,      89,        0,        0,
LAZINE-5MG TAB      ,  5.00  ,15S       ,      77,       0,      77,      25,      52,       52,        0,
LEVOCET 5MG TAB     ,  5.00  ,10S       ,     171,     260,     431,     128,     303,       43,        0,
LEVOCET M DRY SY    ,  5.00  ,60ML      ,       3,       0,       3,       1,       2,        2,        0,
LEVOCET M TAB(HH)   ,  5.00  ,10S       ,      81,       0,      81,      19,      62,        0,        0,
LEVOCET SY          ,  5.00  ,30ML      ,      50,      75,     125,      28,      97,       22,        0,
LYCORTIN S ING #    ,  5.00  ,100MG     ,       0,     100,     100,      30,      70,        0,        0,
MOISTE CREAM(HH)    , 18.00  ,50GM      ,      16,       0,      16,       2,      14,       14,        0,
MOISTE LOTION(HH)   , 18.00  ,100ML     ,      21,       0,      21,       5,      16,       16,        0,
OPOX 200DT TAB      ,  5.00  ,10S       ,      33,       0,      33,       8,      25,       25,        0,
PANTIN 40MG TAB     ,  5.00  ,15S       ,      24,       0,      24,       5,      19,        0,        0,
PANTIN D CAP        ,  5.00  ,10S       ,      16,       0,      16,       0,      16,       16,        0,
PANTIN L CAP        ,  5.00  ,10S       ,     148,       0,     148,      28,     120,        0,        0,
PENVIR 250MG TAB    ,  5.00  ,6S        ,      32,       0,      32,      10,      22,        0,        0,
PENVIR 500MG TAB    ,  5.00  ,3S        ,      29,      50,      79,      33,      46,        0,        0,
RABEZ D CAP         ,  5.00  ,15S       ,       0,      30,      30,       1,      29,        0,        0,
TOFUS TAB           ,  5.00  ,10S       ,      40,       0,      40,       6,      34,        0,        0,
VERTIGEN TAB        ,  5.00  ,10S       ,       6,      10,      16,       6,      10,        0,        0,
----------
TOTAL               ,        ,          ,  104322,   44250,  148572,   47909,  108120,    35930,        0,
----------
 
GRAND TOTAL         ,        ,          ,  104322,   44250,  148572,   47909,  108120,    35930,        0,



























