Navkar Apotek
HETERO HEALTHCARE LTD (GENX)
Stock And Sales for the period 01-05-2026 to 31-05-2026

Product Name,Pack,Rate,Previous Last Sale,Previous Sale,Opening,Receipt,Sales,Free,Sales RTN,Sale Value,Purchase RTN,Others,Closing,Cl Value,expQty,nonMoveQty,Flag
ACOTOP ER,10 TAB,213.52,6,13,33,0,21,4,0,4484,0,0,8,1708,0,0,

AD 100MG CAP ,10 CAP,97.52,143,210,1189,0,207,0,0,19708,0,0,982,95765,0,0,

AD 10MG SACH 1GM, 1GM,10.29,122,265,85,200,155,0,0,1595,0,0,130,1338,0,0,

AD-30 SACHETS ,1 PIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

BILASET [M] TAB,10 TAB,77.79,95,61,90,0,65,12,0,5056,0,0,13,1011,0,0,

BILASET 20 TAB,10 TAB,60.65,32,100,64,130,49,13,0,2972,0,0,132,8006,0,0,

BIXIVA 5 MG TAB ,10''S,167.62,0,0,50,0,14,1,0,2347,0,0,35,5867,0,0,

GENXVAST 10MG TAB,10 TAB,14.68,47,98,69,50,95,0,0,1352,0,0,24,352,0,0,

GENXVAST 20MG TAB,10 TAB,21.56,20,3,195,0,38,0,0,819,0,0,157,3385,0,0,

GENXVAST F TAB,10 TAB,33.14,0,22,3,20,3,0,0,99,0,0,20,663,0,0,

GOCAN 150MG TAB,5 TAB,9.37,405,648,627,0,350,175,0,3252,0,0,102,956,0,0,

HEADRIX TAB ,2TAB,113.52,8,0,23,0,7,0,0,795,0,0,16,1816,0,0,

ITBOR 100 CAP,10 CAP,66.59,25,112,129,0,41,13,0,2730,0,0,75,4994,0,0,

ITBOR 200 CAP,10 CAP,130.13,55,195,91,140,75,35,0,9760,0,0,121,15746,0,0,

LASMIG 100MG ,4''S,200,0,0,50,0,5,0,0,1000,0,0,45,9000,0,0,

LASMIG 50MG ,4''S,142.86,0,0,50,0,10,0,0,1429,0,0,40,5714,0,0,

LAZ 250 TAB,5 TAB,57.78,6,24,58,0,13,2,0,751,0,0,43,2485,0,0,

LAZ 500 TAB,6 TAB,102.86,41,36,95,60,63,12,0,6480,0,0,80,8229,0,0,

LAZINE 5 TAB,10 TAB,40.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

LAZINE M TAB,10 TAB,67.81,14,101,62,0,13,2,0,882,0,0,47,3187,1,0,

LULIBOR 1% CREAM,30GM,178.48,115,79,63,0,16,4,0,2856,0,0,43,7675,0,0,

LULIBOR CREAM 15 GM,15 GM,89.22,61,124,102,0,42,5,0,3747,0,0,55,4907,0,0,

LULIBOR LOTION ADVANCE ,30ML,207.09,180,198,1649,0,47,14,0,9733,0,0,1588,328859,0,0,

MOISTE CREAM 50GM,50GM,102.88,222,212,197,0,123,16,0,12654,0,0,58,5967,0,0,

OPOX 100 DRY SYR,30ML,103.31,261,191,265,130,133,30,0,13740,0,0,232,23968,0,0,

OPOX 100 DT TAB,10 TAB,104.95,106,113,108,110,115,9,0,11529,0,0,94,9865,0,0,

OPOX 200 TAB          ,10 TAB,113.14,208,244,2095,0,704,188,0,75026,0,0,1203,136107,0,0,

OPOX 50 DRY SYR,30ML,59.43,294,188,70,130,118,26,0,7013,0,30,86,5111,0,0,

OPOX 50 DT TAB,10 TAB,53.52,32,77,23,50,38,3,0,1994,0,0,32,1713,0,0,

OPOX CV 100 DRY SYR,30ML,129.6,54,186,133,0,13,3,4,1685,0,0,117,15163,0,0,

OPOX CV 100 DT TAB,10 TAB,117.79,116,87,53,220,110,9,0,12957,0,0,154,18140,0,0,

OPOX CV 200 TAB,10 TAB,255.7,74,67,153,0,79,11,0,20200,0,0,63,16109,7,0,

OPOX CV 50 DRY SYR
,30ML,89.22,133,54,81,0,14,2,2,1249,0,0,65,5799,6,0,

OPOX DROPS,10ML,57.98,49,56,53,55,47,3,0,2630,0,0,58,3363,0,0,

PANTIN [D] CAP,10 CAP,71.31,659,717,333,1200,319,138,0,22107,0,0,1076,76730,0,0,

PANTIN [L] CAP,10 CAP,112.76,433,1140,1733,0,880,357,0,95449,0,0,496,55929,0,0,

PANTIN [RD] TAB,10 TAB,49.22,44,33,20,30,20,0,0,908,0,0,30,1477,0,0,

PANTIN 40 INJ,30 ML,40.91,2386,5938,6666,7000,5271,4027,0,203359,0,0,4368,178695,0,0,

PANTIN 40 TAB,10 TAB,79.24,120,178,150,150,201,92,0,15927,0,0,7,555,0,0,

PANTIN 80 TAB,10 TAB,89.22,15,3,131,0,3,0,0,268,7,0,121,10796,10,0,

TANZ TAB,10 TAB,57.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

VERTIGEN TAB,TAB,74.1,192,239,1284,0,188,4,1,13628,0,0,1092,80917,0,0,

----Total----->>,,0,336570,570090,1559546,208430,594940,0,771,594169,625,1783,1158066,1158065.72,3285.88,0,
