BARAMATI PHARMA LLP
HETERO GENX
Stock And Sales for the period 01-05-2026 to 31-05-2026

Product Name,Pack,Rate,Previous Last Sale,Previous Sale,Opening,Receipt,Sales,Sales RTN,Sale Value,Purchase RTN,Others,Closing,Cl Value,expQty,nonMoveQty,Flag
ACOTOP ER TAB,10TAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

AD 100MG CAPS,10CAPS,97.52,118,59,100,0,44,0,4291,0,0,56,5461,0,0,

AD 10MG SACHET,1GM SACHE,10.29,160,140,200,0,30,0,309,0,0,170,1749,0,0,

BILASET 20MG TAB,10TAB,60.65,11,36,148,0,14,0,728,0,0,134,6502,0,0,

BILASET M TAB,10TAB,77.79,60,23,60,130,58,0,3501,0,0,132,8215,0,0,

GENXVAST-10MG TAB,10TAB,14.68,25,27,50,0,11,0,161,0,0,39,573,0,0,

GENXVAST-20MG TAB,10TAB,21.56,3,3,7,0,0,0,0,0,0,7,151,0,0,**

GENXVAST-F TAB,10TAB,33.14,10,0,0,20,9,0,298,0,0,11,365,0,0,**

GOCAN 150MG TAB,1S,9.37,264,30,306,0,195,0,1218,0,0,111,693,0,0,**

HEADRIX TAB,10TAB,113.52,0,0,45,0,0,0,0,0,0,45,5108,0,0,**

ITBOR 100MG CAP,10CAP,66.59,7,27,165,0,6,0,266,0,0,159,7059,0,0,**

ITBOR 200MG CAP,10CAP,130.13,57,66,168,0,53,0,4815,0,0,115,11148,0,0,**

LAZ 250MG TAB,1*6TAB,57.78,21,24,150,0,6,0,289,0,0,144,6934,0,0,**

LAZ 500MG TAB,6 TAB,102.86,30,30,101,0,24,0,2057,0,0,77,6600,0,0,**

LAZINE 5MG TAB,10TAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

LAZINE M TAB,10TAB,67.81,23,13,104,0,32,0,1763,0,0,72,3906,0,0,**

LULIBOR CREAM,30GM,178.48,62,26,76,0,11,0,1606,0,0,65,8701,0,0,**

LULIBOR CREAM 15GM,15GM,89.22,70,57,173,0,53,0,3747,0,0,120,8030,0,0,**

LULIBOR LOTION,30ML,207.09,48,59,43,0,42,0,6006,0,0,1,138,0,0,**

MOISTE CREAM 50GM,1*50GM,102.88,97,104,134,0,109,0,9259,0,0,25,2143,0,0,**

OPOX 100MG DRY SYP,30ML,103.39,48,59,100,0,54,0,4649,0,0,46,3802,0,0,**

OPOX 100MG DT TAB,10TAB,104.95,157,50,93,0,37,0,3673,0,0,56,5289,0,0,**

OPOX 200MG TAB,10TAB,113.14,398,96,401,0,173,0,16518,0,0,228,21497,0,0,**

OPOX 50MG DRY SYP,1*30ML,59.43,74,14,59,0,5,0,238,0,0,54,2567,0,0,**

OPOX 50MG DT TAB,10TAB,53.52,8,5,33,33,46,0,2301,0,0,20,973,0,0,**

OPOX CV 100 SYRUP,30 ML,129.6,26,1,68,0,10,0,1166,0,0,58,6013,0,0,**

OPOX CV 100DT TAB,10TAB,117.79,233,93,114,0,24,0,2591,0,0,90,9637,0,0,**

OPOX CV 200MG TAB,10TAB,255.7,87,25,57,0,21,0,4858,0,0,36,7671,36,0,**

OPOX CV 50 DRY SYP,30ML,89.22,25,23,90,0,22,0,1695,0,0,68,4854,0,0,**

OPOX CV 50DT TAB,10TAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

OPOX DROP,10 ML,57.98,13,14,39,0,16,0,812,0,0,23,1212,0,0,**

PANTIN 40MG TAB,15TAB,79.24,156,27,121,0,95,0,5468,0,0,26,1545,0,0,**

PANTIN D CAP,10CAP,71.32,670,474,620,0,259,0,12479,0,0,361,17162,0,0,**

PANTIN I.V INJ,1VAIL,40.91,3519,3764,4282,0,3128,0,37433,0,0,1154,23605,0,0,**

PANTIN L CAP,10 CAP,112.76,153,471,908,0,300,0,25033,0,0,608,51523,0,0,**

PANTIN RD TAB,10 TAB,49.22,0,21,28,0,17,0,837,0,0,11,541,0,0,**

TANZ TAB,10TAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

VERTIGEN TAB,10 TAB,74.1,224,85,220,0,104,0,7188,0,0,116,7814,0,0,**

----Total----->>,,0,279667,201140,424777,12542,167254,0,167254,0,0,249181,249181.22,9205.2,0,
