PHARMAK MEDICARE LLP
HETERO GENX MAIN
Stock And Sales for the period 01-05-2026 to 31-05-2026

Product Name,Pack,Rate,Previous Last Sale,Previous Sale,Opening,Receipt,Sales,Free,Sales RTN,Sale Value,Purchase RTN,Others,Closing,Cl Value,expQty,nonMoveQty,Flag
***LULIBOR LOTION ADVANCED,30ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

ACOTOP ER TAB,10 TAB,160.18,9,2,27,0,8,0,0,1709,0,0,19,3043,0,0,

AD-10 SACHET,1 GM,9.26,136,393,280,100,280,0,0,2881,0,0,100,926,0,0,

AD-100 CAP,10 CAP,87.77,28,38,47,0,41,0,0,3998,0,0,6,527,0,0,

AD-30 SACHET,3GM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

ADABOR 15 GM TUBE,15 GM,188.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

BILASET- 20 TAB,10 TAB,54.58,40,5,82,0,14,0,0,849,0,0,68,3107,0,0,

BILASET SYR 60 ML,60 ML,66.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

BILASET-M TAB,10 TAB,53.85,45,12,120,0,42,0,0,3267,0,0,78,4201,0,0,

BIXIVA 5MG TAB,10TAB,135.77,0,0,20,0,0,0,0,0,0,0,20,2715,0,20,**

D-PAIN PLUS TAB,10 TAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

D-PAIN TAB,10 TAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

D-PAIN TC 4MG CAP,10 CAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

GENXVAST 10 TAB,10 TAB,13.35,28,8,22,0,8,0,0,117,0,0,14,187,0,0,**

GENXVAST 20 TAB,10 TAB,19.41,24,12,22,0,14,0,0,302,0,0,8,155,0,0,**

GENXVAST 40 TAB,10 TAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

GENXVAST-5 TAB,10 TAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

GENXVAST-F TAB,10 TAB,29.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

GOCAN 150 MG TAB ,1 TAB,5.67,105,225,225,0,60,0,0,562,0,0,165,936,0,0,**

HEADRIX TAB,10TAB,102.17,0,0,20,0,2,0,0,227,0,0,18,1839,0,0,**

ITBOR 100 MG CAP,10 CAP,39.95,23,76,69,0,56,0,0,3729,0,0,13,519,0,0,**

ITBOR 200MG CAP,10 CAP,83.66,59,89,23,140,98,0,0,12753,0,0,65,5432,0,0,**

LASMING 100MG TAB,10TAB,180,0,0,10,0,0,0,0,0,0,0,10,1800,0,10,**

LASMING 50MG TAB ,10TAB,128.57,0,0,10,0,0,0,0,0,0,0,10,1286,0,0,**

LAZ 100 TAB,3 TAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

LAZ 200 SUPS,15 ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

LAZ 250TAB,6 TAB,43.78,23,0,60,0,11,0,0,636,0,0,49,2145,0,0,**

LAZ 500 TAB,6 TAB,77.14,22,6,8,0,8,0,0,823,0,0,0,0,0,0,**

LAZINE M SYP,30 ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

LAZINE M TAB,10 TAB,46.95,57,27,79,0,48,0,0,3255,0,0,31,1455,0,0,**

LAZINE SYRUP,30 ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

LAZINE TAB,10 TAB,28.18,0,0,119,0,4,0,0,163,0,-1,114,3213,0,0,**

LULIBOR 1% CREAM,30 GM,114.74,18,52,26,0,24,0,0,4284,0,0,2,229,0,0,**

LULIBOR CREAM 15GM,15GM,57.36,62,30,111,0,75,0,0,6692,0,0,36,2065,0,0,**

LULIBOR LOTION ADVANCED,30 ML,140.14,45,0,0,133,47,0,1,9733,0,0,86,12052,0,0,**

MOISTE 50 GM CREAM,50 GM,71.22,47,30,161,0,22,0,0,2263,0,0,139,9900,0,0,**

OPOX 100 DRY SYP,30 ML,71.52,39,14,117,0,41,0,0,4236,0,0,76,5436,0,0,**

OPOX 100 DT ,10 TAB,85.87,0,0,0,33,28,0,0,2939,0,0,5,429,0,0,**

OPOX 100 TAB,10 TAB,85.01,48,36,18,0,5,0,0,525,0,0,13,1105,0,0,**

OPOX 200 TAB,10 TAB,84.86,117,119,142,0,138,0,0,15613,0,0,4,339,0,0,**

OPOX 50 DRY SYP,30 ML,41.15,56,71,132,0,35,0,0,2080,0,0,97,3991,0,0,**

OPOX 50 DT,10 TAB,43.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

OPOX CV 100 DRY SYP,30 ML,89.72,21,16,52,0,10,0,0,1296,0,0,42,3768,0,0,**

OPOX CV 100DT TAB,10 TAB,96.37,25,0,0,33,7,0,0,825,0,0,26,2506,0,0,**

OPOX CV 200 TAB,10 TAB,191.78,64,30,116,0,80,0,0,20456,0,0,36,6904,25,0,**

OPOX CV 50 DRY SYP,30 ML,61.77,11,10,92,0,2,0,0,178,0,0,90,5559,90,0,**

OPOX CV 50DT TAB,10 TAB,36.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

OPOX DROPS,10 ML,46.96,19,0,50,0,9,0,0,522,0,0,41,1925,0,0,**

PANTIN 40 MG TAB,15 TAB,47.54,240,260,701,0,226,17,0,17908,0,0,458,21773,0,0,**

PANTIN 80 TAB,1,57.36,6,5,62,0,2,0,0,178,0,0,60,3441,60,0,**

PANTIN D 40/30MG CAP,10 CAP,42.79,732,394,357,750,446,1,0,31804,0,0,660,28239,0,0,**

PANTIN IV,10 ML,10.52,334,461,1495,0,357,0,0,14605,0,0,1138,11972,0,0,**

PANTIN L CAP,10 CAP,72.49,82,86,28,140,28,0,0,3157,0,0,140,10149,0,0,**

PANTIN RD,10 TAB,44.3,11,11,20,0,2,0,0,98,0,0,18,797,0,0,**

RINASE NASAL RINSE,15 ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

TANZ TAB,10 TAB,43.2,42,47,12,60,35,0,0,2016,0,0,37,1598,0,0,**

VERTIGEN TAB,10TAB,60.63,103,75,35,110,48,0,0,3557,0,0,97,5881,0,0,**

----Total----->>,,0,203901,164084,202442,65638,180443,0,207,180236,0,-28,173548,173547.87,19775.5,5352.4,
