Sevam Pharma LLP
HETERO GENX 1
Stock And Sales for the period 01-05-2026 to 31-05-2026

Product Name,Pack,Rate,Previous Last Sale,Previous Sale,Opening,Receipt,Sales,Free,Sales RTN,Sale Value,Purchase RTN,Others,Closing,Cl Value,expQty,nonMoveQty,Flag
ACOTOP ER 300,10T,213.52,18,15,25,0,22,0,0,4697,0,0,3,641,0,0,

AD 10 SACHET,1 SAC,10.29,151,153,172,50,168,0,0,1729,0,0,54,556,0,0,

AD 100 CAP,10C,97.52,107,128,300,0,98,0,0,9557,0,0,202,19699,0,0,

BILASET 20 MG ,10TAB,60.65,40,44,54,0,15,0,0,910,0,0,39,2365,0,0,

BILASET M TAB,10 T,77.79,60,87,168,0,103,0,0,8012,0,0,65,5056,0,0,

GENXVAST 10 TAB,10T,14.68,145,53,98,80,146,0,0,2143,0,0,32,470,0,0,

GENXVAST 20 TAB,10T,21.56,12,14,16,0,7,0,0,151,0,0,9,194,0,0,

GENXVAST F TAB,10T,33.14,8,2,10,0,10,0,0,331,0,0,0,0,0,0,

GOCAN 150 TAB,1T,9.37,123,90,226,0,135,0,0,1265,0,2,93,871,0,0,

HEADRIX TABS,10S,113.52,0,0,40,0,40,0,0,4541,0,0,0,0,0,0,

HETERONOX 1% CREAM,5 GM,96.38,0,0,6,0,6,0,0,579,0,0,0,0,0,0,

HETERONOX1%CREAM,10 GM,160.71,2,1,0,0,0,0,0,0,0,0,0,0,0,0,

ITBOR 100 CAP,10CAP,66.59,59,31,70,70,73,0,0,4861,0,0,67,4462,0,0,

ITBOR 200 CAP,10CAP,130.13,46,67,108,0,54,0,0,7027,0,0,54,7027,0,0,

LAZ 250 TAB,6 TAB,57.78,19,54,221,0,42,0,0,2427,0,0,179,10343,0,0,

LAZ 500 (6 TAB),6  TAB,102.86,23,3,57,0,6,0,0,617,0,0,51,5246,0,0,

LAZINE M TAB,10T,67.81,49,30,75,0,37,0,0,2509,0,0,38,2577,0,0,

LAZINE TAB,10 TAB,40.71,3,0,7,0,4,0,0,163,0,0,3,122,0,0,

LULIBOR 1% CREAM ,15GM,89.22,67,56,79,0,64,0,0,5710,0,0,15,1338,0,0,

LULIBOR 1% CREAM,30GM,178.48,23,50,82,0,17,0,0,3043,0,0,65,11601,0,0,

LULIBOR 1% LOT(ADVANCE).,30ML,207.09,63,90,169,0,156,0,0,32306,0,-1,12,2485,0,0,

MOISTE 50 GM ,50GM,102.88,77,78,124,0,38,0,0,3909,0,0,86,8848,0,0,

NAFBOR CREAM,30GM,339.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

OPOX  50 DT,10 TAB,53.52,32,2,48,0,8,0,0,428,0,0,40,2141,0,0,

OPOX 100 DRY SYP,30ML,103.31,58,97,310,0,66,1,1,6818,0,0,243,25104,0,0,

OPOX 100 DT,10T,104.95,55,1,0,0,0,0,3,0,0,0,0,0,0,0,

OPOX 200 TAB,10T,113.14,192,223,366,650,170,0,0,19234,0,0,846,95716,0,0,

OPOX 50 DRY SYP,30ML,59.43,69,93,136,0,50,0,1,2972,0,0,86,5111,0,0,

OPOX CV 100 DRY SYP,30 ML,129.6,118,99,113,0,32,0,0,4147,0,0,81,10498,0,0,

OPOX CV 100 DT TAB,10T,117.79,43,71,260,0,44,0,1,5183,0,0,216,22875,0,0,

OPOX CV 200 TAB,10 TAB,255.7,84,78,181,0,115,0,0,29406,0,0,66,16876,0,0,

OPOX CV 50 DRY SYP,30ML,89.22,43,57,149,0,53,0,0,4729,0,-8,88,7851,0,0,

OPOX DROPS,10ML,57.98,23,29,31,50,29,0,0,1681,0,-2,50,2899,0,0,

PANTIN 40 TAB,15 TAB,79.24,187,131,258,300,235,60,2,18621,0,0,263,20840,0,0,

PANTIN 80 TAB,15 TAB,89.22,9,53,74,0,17,0,0,1518,0,0,57,5086,0,0,

PANTIN D CAP,10C,71.31,217,398,496,0,412,52,1,29380,0,-6,26,1854,0,0,

PANTIN I.V.,VIAL,40.91,762,1482,1750,0,526,0,0,21519,0,0,1224,50074,0,0,

PANTIN L CAP,10 TAB,112.79,166,414,452,0,295,0,0,33273,0,0,157,17708,0,0,

PANTIN RD TAB,10 TAB,49.22,167,92,111,80,125,0,0,6153,0,0,66,3249,0,0,

TANZ TAB.,10T,57.6,25,18,120,0,24,0,0,1382,0,0,96,5530,0,0,

VERTIGEN TAB,10T,74.1,149,236,386,0,241,0,0,17858,0,0,145,10745,0,0,

----Total----->>,,0,262145,341507,588347,75597,301614,0,825,300789,0,-1446,388056,388055.93,0,0,
