Hira Agencies
HETERO HEALTHCARE LTD GENX DIV
Stock And Sales for the period 01-05-2026 to 31-05-2026

Flag,Product Name,Pack,Rate,Previous Last Sale,Previous Sale,Opening,Receipt,Sales,Sales RTN,Sale Value,Purchase RTN,Others,Closing,Cl Value
,$$$$$$$,EAC,70.1,0,0,0,0,0,0,0,0,0,0,0

,ACOTOP ER TAB,10TAB,213.57,0,0,54,0,30,0,5766,0,0,24,5126

,AD 10 MG SACHET,1GM,10.29,125,115,0,200,110,0,1019,0,0,90,926

,AD 100 MG CAP,10 CAP,97.52,9,71,36,50,45,0,3950,0,0,41,3998

,BILASET 20 TAB,10TAB,60.65,61,97,50,65,31,0,1692,0,0,84,5095

**,BILASET M SYP,60ML,83.96,0,0,0,50,0,0,0,0,0,50,4198

**,BILASET M TAB,10TAB,77.79,4,6,65,0,2,0,140,0,0,63,4901

**,BILASET SYP 60ML,60ML,82.14,0,0,0,0,0,0,0,0,0,0,0

**,BIXIVA TAB,10TAB,0,0,0,0,0,0,0,0,0,0,0,0

**,GENXVAST 10 MG TAB,10 TAB,14.68,37,43,28,100,78,0,1041,0,0,50,734

**,GENXVAST 20 MG TAB,10 TAB,21.56,3,31,0,50,20,0,388,0,0,30,647

**,GENXVAST-F TAB,10 TAB,33.14,1,9,16,0,6,0,179,0,0,10,331

**,GOCAN 150 MG TAB,1TAB,9.37,120,124,116,300,296,0,2519,0,0,120,1124

**,HEADRIX TAB,2 TAB,113.52,0,10,20,0,20,0,2043,0,0,0,0

**,ITBOR 100MG TAB,10CAP,66.59,3,15,7,140,70,0,4195,0,0,77,5128

**,ITBOR 200MG 10CAP,10CAP,130.13,30,34,0,70,14,0,1640,0,0,56,7287

**,LASIMIG 100MG TAB,4TAB,0,0,0,0,0,0,0,0,0,0,0,0

**,LASMIG 50MG TAB,4TAB,0,0,0,0,0,0,0,0,0,0,0,0

**,LAZ-250 MG TAB,6TAB,57.78,289,224,251,240,302,0,15864,0,0,189,10920

**,LAZ-500 MG TAB,6TAB,102.86,25,26,14,60,17,0,1574,0,0,57,5863

**,LAZINE 5 MG TAB,10 TAB,40.71,0,0,0,0,0,0,0,0,0,0,0

**,LAZINE-M TAB,10 TAB,67.81,20,4,135,0,24,0,1465,0,0,111,7527

**,LULIBOR 1% CREAM 30 GM.,30GM,178.48,5,6,145,0,24,0,3855,0,0,121,21596

**,LULIBOR CREAM 15GM,15GM,89.22,10,9,124,140,172,0,13812,0,0,92,8208

**,LULIBOR LOTION ADV.,30ML,207.09,12,37,49,0,49,0,9133,0,0,0,0

**,MOISTE CREAM 18%GST,50GM,102.88,18,16,141,0,26,0,2407,0,0,115,11831

**,NICOSIVE 14MG PATCH,7PATCH,0,0,0,0,0,0,0,0,0,0,0,0

**,NICOSIVE 21MG PATCH,7PATCH,0,0,0,0,0,0,0,0,0,0,0,0

**,NICOSIVE 7MG PATCH,7PATCH,0,0,0,0,0,0,0,0,0,0,0,0

**,OPOX 100 SYP,30ML,103.31,21,4,105,0,18,0,1674,0,0,87,8988

**,OPOX 100DT,10 TAB,104.95,68,17,106,33,41,0,3873,0,0,98,10285

**,OPOX 200 TAB,10 TAB,113.14,179,42,149,1000,734,0,74743,0,0,715,80895

**,OPOX 50 SYP,30ML,59.43,93,12,88,130,111,0,5937,0,0,107,6359

**,OPOX 50DT,10TAB,53.57,2,0,23,0,4,0,193,0,0,19,1018

**,OPOX CV100 DT,10TAB,117.79,75,19,107,0,10,0,1060,0,0,97,11426

**,OPOX CV100 SYP,30ML,129.6,56,43,88,0,22,0,2566,0,0,66,8554

**,OPOX CV200 TAB,10 TAB,255.7,68,8,95,0,23,0,5293,37,0,35,8950

**,OPOX CV50 SYP,30ML,89.22,24,18,88,0,28,0,2248,0,0,60,5353

**,OPOX DROP,10ML,57.98,5,7,38,55,55,0,2870,0,0,38,2203

**,PANTIN 80MG TAB,10TAB,89.22,0,3,52,0,2,0,161,0,0,50,4461

**,PANTIN-40 MG TAB,15TAB,79.24,109,263,76,600,405,0,28881,0,-1,270,21395

**,PANTIN-D CAP,10 CAP,71.31,114,345,79,600,434,0,27854,0,-5,240,17114

**,PANTIN-IV ING 1 VIL,VIL,40.91,368,608,24,1400,1102,0,40576,0,0,322,13173

**,PANTIN-L CAP,10 CAP,112.76,60,80,141,0,109,0,11062,0,0,32,3608

**,PANTIN-RD TAB,10 TAB,49.22,49,30,52,20,37,0,1639,0,0,35,1723

**,TANZ TAB,10 TAB,57.6,139,110,10,120,10,0,518,0,0,120,6912

**,TREBOR 0.025% CREAM 20GM,20GM,112.14,0,0,0,0,0,0,0,0,0,0,0

**,TREBOR 0.05% CREAM 20GM,20GM,100,0,0,0,0,0,0,0,0,0,0,0

**,VERTIGEN TAB,10TAB,74.1,140,47,74,165,235,0,15672,0,0,4,296

,----Total----->>,,0,152005,145286,260032,330141,299502,0,299502,9461,-436,318154,318153.61
