Nanded A.V.S Pharma LLP
HETERO GENX PHARMA LTD
Stock And Sales for the period 01-05-2026 to 31-05-2026

Product Name,Pack,Rate,Previous Last Sale,Previous Sale,Opening,Receipt,Sales,Free,Sales RTN,Sale Value,Purchase RTN,Others,Closing,Cl Value,expQty,nonMoveQty,Flag
ACOTOP ER TAB 1*10 TAB,PC,192.17,0,12,36,0,0,0,0,0,0,0,36,5765,0,0,**

AD-10 SACHET 1GM,1*1GM,9.26,133,250,263,0,200,0,0,2058,0,0,63,584,0,0,**

AD-100 CAP ,1*10''S,87.77,2,11,38,0,11,0,0,1073,0,0,27,2371,0,0,**

BILASET 20 TAB ,1*10''S,54.58,31,62,67,0,26,6,0,1577,0,0,35,1592,0,0,**

BILASET M TAB ,1*10''S,70.01,12,71,189,0,70,20,0,5445,0,0,99,5776,0,0,**

BIXIVA 5MG TAB 1*10,1*10,150.86,0,0,20,0,0,0,0,0,0,0,20,2715,0,20,**

GENXVAST 10 TAB ,1*10''S,13.35,248,364,500,0,235,0,0,3450,0,0,265,3538,0,0,**

GENXVAST 20 TAB ,1*10''S,19.41,129,29,235,0,89,0,0,1919,0,0,146,2834,0,0,**

GENXVAST F TAB ,1*10''S,29.89,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,**

GOCAN 150 TAB 1 S,PC,8.51,600,315,887,0,590,295,0,5528,0,15,17,96,0,0,**

HEADRIX TAB 1*2,1*2,102.17,0,0,10,0,0,0,0,0,0,0,10,1022,0,10,**

ITBOR 100 CAP 1X10,PC,59.93,82,26,114,0,30,10,0,1998,0,0,74,3696,0,0,**

ITBOR 200 CAPS 1X10,PC,117.12,30,104,91,0,35,12,0,4555,0,0,44,3754,0,0,**

LAZ-250 TAB ,1*6''S,52.53,0,12,77,0,5,1,0,289,0,0,71,3105,0,0,**

LAZ-500 TAB,1*6''S,92.57,12,0,65,0,0,0,0,0,0,0,65,5014,0,0,**

LAZINE 5 TAB ,1*10''S,36.62,0,0,105,0,1,0,0,41,0,0,104,3055,6,0,**

LAZINE-M TAB ,1*10''S,61.03,259,223,297,0,48,11,0,3255,0,0,238,12104,0,0,**

LULIBOR 1% CREAM 30GM ,1*30GM,160.63,18,5,71,0,25,5,0,4462,0,0,41,5461,0,0,**

LULIBOR 1% LOTION 30ML ,1*30ML,186.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

LULIBOR CREAM 15GM,1*15GM,80.36,6,0,45,0,12,3,0,1071,0,0,30,1929,0,0,**

LULIBOR LOTION ADVANCED IP,1*30ML,186.38,59,111,3,0,3,0,0,621,0,0,0,0,0,0,**

MOISTE CREAM 50GM,1*50GM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

MOISTE CREAM 50GM ,1*50GM,92.59,63,77,104,0,60,9,0,6173,0,0,35,2701,0,0,**

OPOX 100 DRY SYP.30ML,1*30ML,92.98,107,214,249,0,145,40,0,14980,0,0,64,4947,0,0,**

OPOX 50 DRY SYP.30ML,1*30ML,53.49,164,140,238,0,180,53,0,10697,0,0,5,218,1,0,**

OPOX DROPS 10ML ,1*10ML,52.18,43,5,65,0,28,3,0,1623,0,0,34,1597,0,0,**

OPOX-100 DT TAB ,1*10''S,94.46,33,50,80,0,20,2,0,2099,0,0,58,4931,0,0,**

OPOX-200 TAB ,1*10''S,101.83,44,0,72,0,60,12,0,6788,0,2,2,170,0,0,**

OPOX-50 DT TAB ,1*10''S,48.17,20,0,58,0,9,1,0,482,0,0,48,2081,0,0,**

OPOX-CV 100 DRY SYP.30ML,1*30ML,116.64,140,158,255,0,85,25,0,11016,0,-1,144,13993,8,0,**

OPOX-CV 100 DT TAB ,1*10''S,106.01,10,20,59,0,9,1,0,1060,0,0,49,4675,0,0,**

OPOX-CV 200 TAB ,1*10''S,230.13,26,19,49,0,6,1,0,1534,0,0,42,8055,42,0,**

OPOX-CV 50 DRY SYP.30ML,1*30ML,80.3,258,135,201,0,50,15,0,4461,0,0,136,9098,1,0,**

OPOX-CV 50 DT TAB ,1*10''S,37.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

PANTIN 40 TAB,1*15''S,71.31,335,443,802,0,253,105,0,20048,0,0,444,26385,0,0,**

PANTIN I.V.40MG INJ.1VAIL,1*1VAIL,36.82,3342,3918,2160,7000,5925,750,0,78061,0,0,2485,91367,0,0,**

PANTIN-D CAP ,1*10''S,64.18,264,196,488,0,320,152,0,22819,0,0,16,856,0,0,**

PANTIN-L CAP ,1*10''S,101.49,138,85,461,0,101,22,0,11389,0,0,338,28586,0,0,**

PANTIN-L CAP ,1*10''S,101.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

TANZ TAB 10`S,PC,51.84,0,0,10,0,6,0,0,346,0,0,4,207,4,0,**

VERTIGEN TAB ,1*10''S,66.69,36,77,114,0,43,3,1,3186,0,0,68,4250,0,0,**

----Total----->>,,0,204282,217044,407789,21040,234178,0,74,234104,0,215,268527,268526.78,12399.93,4487.6,
