SUSHIL PHARMA LLP
HETERO GENX
Stock And Sales for the period 01-05-2026 to 31-05-2026

Product Name,Pack,Rate,Previous Last Sale,Previous Sale,Opening,Receipt,Sales,Free,Sales RTN,Sale Value,Purchase RTN,Others,Closing,Cl Value,expQty,nonMoveQty,Flag
ACOTOP-ER TAB,10''S,213.52,17,20,40,0,27,2,1,5189,0,0,11,2114,0,0,

AD 10 SACHET,1GM,10.29,762,665,469,1000,1008,0,10,9333,0,3,464,4775,0,0,

AD 100 CAP,10''S,97.52,242,294,126,550,191,0,12,16764,0,0,485,47297,0,0,

BILASET 20 TAB,10''S,60.65,139,163,214,0,187,16,0,10206,0,-8,3,152,0,0,

BILASET M SUSP,60ML,83.96,0,0,0,100,21,2,0,1587,0,0,77,5818,0,0,

BILASET M SYP,30ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

BILASET SYP,60ML,82.1,5,14,20,0,9,0,0,665,0,0,11,813,0,0,

BILASET-M TAB,10''S,77.79,225,196,259,0,75,3,2,5251,0,0,181,11733,0,0,

BIXIVA 5MG TAB ,10''S,167.62,0,0,50,0,0,0,0,0,0,0,50,7543,0,50,**

FX24 120 TAB,10''S,54.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

FX24 180 TAB,10''S,69.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

FX24-SYRUP,100ML,70.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

GENXVAST 10 TAB,10''S,14.68,614,490,155,500,516,0,3,6889,0,0,139,2041,0,0,**

GENXVAST 20 TAB,10''S,21.56,474,315,351,400,409,0,4,7939,0,0,342,7374,0,0,**

GENXVAST-F TAB,10''S,33.14,45,76,63,20,31,0,1,925,0,0,52,1723,0,0,**

GOCAN 150 TAB,1''S,9.37,752,1513,797,900,662,130,0,5634,0,0,905,5653,0,0,**

HETFARO 200 TAB,10''S,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

HETFARO ER 300 TAB,10''S,964.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

ITBOR 100 CAP,10''S,66.59,141,155,208,0,99,18,5,5933,0,0,91,5050,0,0,**

ITBOR 200 CAP,10''S,130.13,180,263,329,0,225,32,1,26352,0,0,72,7808,0,0,**

LAZ 250 TAB,6''S,57.78,160,113,341,0,165,20,0,8667,0,0,156,7511,0,0,**

LAZ 500 TAB,6''S,102.86,207,262,580,0,234,11,3,21664,0,0,335,28712,0,0,**

LAZINE TAB,10''S,40.69,79,82,263,0,56,3,0,2051,0,0,204,7115,0,0,**

LAZINE-M TAB,10''S,67.81,183,171,177,0,103,13,4,6286,0,0,61,3309,0,0,**

LULIBOR 1% CRM,30GM,178.48,90,218,186,600,163,2,4,26183,0,0,621,79160,0,0,**

LULIBOR 1% CRM 15GM,15GM,89.22,117,231,164,140,216,12,5,17345,0,0,76,5651,0,0,**

LULIBOR 1% LOTION ADV,30ML,207.09,346,398,278,750,426,64,2,79398,0,0,538,83423,0,0,**

MOISTE CREAM,50GM,102.88,213,280,1134,0,179,4,0,16574,0,19,970,83161,0,0,**

NAPIBOR CREAM,30GM,67.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

OPOX 100 DT,10''S,104.95,186,174,58,220,140,3,1,13224,0,0,135,12879,0,0,**

OPOX 100 SYP,30ML,103.31,245,338,228,260,218,28,2,20270,0,0,242,20834,3,0,**

OPOX 200 TAB,10''S,113.14,380,373,728,1300,342,12,4,34826,0,1,1675,157925,0,0,**

OPOX 50 DT,10''S,53.52,62,35,161,0,47,1,0,2264,0,0,113,5498,0,0,**

OPOX 50 SYP,30ML,59.43,212,267,242,130,210,7,2,11233,0,0,155,7676,0,0,**

OPOX DROPS,10ML,57.98,89,67,249,0,66,0,0,3444,0,0,183,9636,0,0,**

OPOX-CV 100 DT ,10''S,117.79,99,85,343,0,121,2,0,12827,0,0,220,23322,0,0,**

OPOX-CV 100 SYP,30ML,129.6,131,64,275,0,67,4,0,7815,0,0,204,22032,0,0,**

OPOX-CV 200 TAB,10''S,255.7,279,224,720,500,127,13,0,29227,0,-674,406,86512,0,0,**

OPOX-CV 50 SYP,30ML,89.22,88,77,66,130,66,2,0,5300,0,0,128,9517,0,0,**

PANTIN 40 TAB,15''S,79.24,607,988,2813,0,901,277,10,64322,0,0,1635,107962,0,0,**

PANTIN 80 TAB,10''S,89.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

PANTIN IV *,VIAL,40.91,2693,5077,6236,0,3318,1349,1,122166,0,0,1569,21396,0,0,**

PANTIN-D CAP,10''S,71.31,1324,2764,777,3000,1912,657,7,122712,0,1,1209,68971,0,0,**

PANTIN-L CAP,10''S,112.76,903,917,2206,0,1052,171,4,106768,0,0,983,88674,0,0,**

PANTIN-RD TAB,10''S,49.22,116,58,94,20,73,0,0,3234,0,0,41,2018,0,0,**

SERTABOR 2% CREAM,30GM,185.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

TANZ TAB,10''S,57.6,82,85,115,0,60,3,0,3110,0,0,52,2696,0,0,**

VERTIGEN TAB,10''S,74.1,439,611,1543,0,695,28,26,46350,0,0,820,60762,0,0,**

ZINVITA TAB (M.D),30''S,152.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

----Total----->>,,0,701723,873791,1374505,688256,897963,0,8039,889924,0,-170657,1116248,1116247.62,279.15,7543,
