o;?GADHINGLAJ PHARMA LLP,,,,,,,,,,,,,,,,,
HETERO (GENX),,,,,,,,,,,,,,,,,
Stock And Sales for the period 01-05-2026 to 31-05-2026,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Product Name,Pack,Rate,Previous Last Sale,Previous Sale,Opening,Receipt,Sales,Free,Sales RTN,Sale Value,Purchase RTN,Others,Closing,Cl Value,expQty,nonMoveQty,Flag
ACOTOP- ER TAB,10T,213.52,0,14,60,0,2,0,0,427,0,0,58,12384,0,0,
,,,,,,,,,,,,,,,,,
AD 10 SACHET,1GM,10.29,161,177,127,200,287,0,0,2953,0,0,40,412,0,0,
,,,,,,,,,,,,,,,,,
AD 100 CAP,10S,97.52,52,63,209,0,64,0,0,6241,0,0,145,14140,0,0,
,,,,,,,,,,,,,,,,,
BILASET 20MG TAB,10 TAB,60.65,60,99,319,0,70,19,38,4246,0,0,230,13950,0,0,
,,,,,,,,,,,,,,,,,
BILASET M TAB,10 TAB,77.79,142,77,318,0,64,10,0,4979,0,0,244,18981,0,0,
,,,,,,,,,,,,,,,,,
BILASET SYRUP 60 ML,60 ML,82.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
BIXIVA 5MG TAB,10S,167.62,0,0,10,0,2,0,0,335,0,0,8,1341,0,0,
,,,,,,,,,,,,,,,,,
GENXVAST - 10MG,10S,14.68,61,87,92,0,92,0,0,1350,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
GENXVAST - F,10S,33.14,0,0,24,10,22,0,0,729,10,0,2,66,0,0,
,,,,,,,,,,,,,,,,,
GENXVAST -20GM,10S,21.56,162,152,103,0,103,0,3,2221,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
GOCAN 150 TAB,1 TAB,9.37,54,296,250,0,122,56,0,1143,0,0,72,675,0,0,
,,,,,,,,,,,,,,,,,
HEADRIX TAB ,2S,113.52,5,2,33,0,0,0,0,0,0,0,33,3746,0,0,**
,,,,,,,,,,,,,,,,,
ITBOR 100 MG ,10`S,66.59,62,202,130,0,59,9,0,3929,0,0,62,4129,0,0,**
,,,,,,,,,,,,,,,,,
ITBOR 200 MG CAP,10 S,130.13,114,187,297,0,113,26,0,14705,0,0,158,20561,0,0,**
,,,,,,,,,,,,,,,,,
LASMIG TAB,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,,
LAZ 250 TABS,6S,57.78,21,8,408,0,46,8,0,2658,0,0,354,20454,0,0,**
,,,,,,,,,,,,,,,,,
LAZ 500 TAB,3S,90.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,,
LAZ 500 TAB 6''S,6''S,102.86,42,26,234,0,36,6,0,3703,0,0,192,19749,0,0,**
,,,,,,,,,,,,,,,,,
LAZINE - 5MG,10S,40.69,21,2,182,0,15,3,0,610,0,0,164,6673,0,0,**
,,,,,,,,,,,,,,,,,
LAZINE M TAB,10T,67.81,32,25,257,0,24,5,0,1627,0,0,228,15461,0,0,**
,,,,,,,,,,,,,,,,,
LULIBOR 1 % CREAM,30 GM,178.57,22,17,29,0,28,1,0,5000,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,,
LULIBOR 1% LOTION,30 ML,207.09,140,102,232,0,115,41,0,23815,0,0,76,15739,0,0,**
,,,,,,,,,,,,,,,,,
LULIBOR CREAM 15 GM,15 GM,89.22,41,40,79,0,71,8,0,6335,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,,
MOISTE 50 GM,50 GM,102.88,84,49,147,0,41,2,0,4218,0,0,104,10700,0,0,**
,,,,,,,,,,,,,,,,,
MOISTE CREAM 100 GM,100GM,202.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,,
OPOX 100 DRY SYRUP,30ML,103.31,25,18,131,0,47,0,0,4856,0,0,84,8678,0,0,**
,,,,,,,,,,,,,,,,,
OPOX 100 DT TAB,10''S,104.95,104,41,60,0,38,2,1,3988,0,0,20,2099,0,0,**
,,,,,,,,,,,,,,,,,
OPOX 200 TAB,10S,113.14,248,128,923,0,155,23,0,17537,0,0,745,84289,0,0,**
,,,,,,,,,,,,,,,,,
OPOX 50 DRY SYP,30ML,59.43,54,41,250,0,66,2,1,3922,0,0,182,10816,0,0,**
,,,,,,,,,,,,,,,,,
OPOX 50 DT,10S,53.52,18,22,87,0,22,1,0,1177,0,0,64,3425,0,0,**
,,,,,,,,,,,,,,,,,
OPOX CV 100 DRY SYP,30ML,129.6,38,18,274,0,18,1,1,2333,0,0,255,33048,0,0,**
,,,,,,,,,,,,,,,,,
OPOX CV 100 DT TAB,10S,117.79,54,57,88,0,61,2,0,7185,0,0,25,2945,0,0,**
,,,,,,,,,,,,,,,,,
OPOX CV 200MG TAB ,10S,255.7,56,56,622,0,99,14,0,25315,95,0,414,105860,407,0,**
,,,,,,,,,,,,,,,,,
OPOX CV 50 DRY SYP,30ML,89.22,32,25,28,65,23,0,0,2052,0,0,70,6245,0,0,**
,,,,,,,,,,,,,,,,,
OPOX DROPS,10ML,57.98,15,14,22,0,11,0,0,638,0,0,11,638,0,0,**
,,,,,,,,,,,,,,,,,
PANTIN 40 MG,15 TAB,79.24,244,519,2017,0,288,99,2,22821,0,0,1630,129161,0,0,**
,,,,,,,,,,,,,,,,,
PANTIN 80 MG TAB,10''S,89.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,,
PANTIN D CAP,10;S,71.31,825,795,596,600,687,223,0,48990,0,0,286,20395,0,0,**
,,,,,,,,,,,,,,,,,
PANTIN IV 40MG *,1 VIA,40.91,698,757,4508,0,217,484,16,8877,0,0,3807,155744,0,0,**
,,,,,,,,,,,,,,,,,
PANTIN L CAP,10S,112.76,374,409,1903,0,357,58,2,40255,0,0,1488,167787,0,0,**
,,,,,,,,,,,,,,,,,
PANTIN RD TAB,10S,49.22,32,16,19,50,21,0,0,1034,0,0,48,2363,0,0,**
,,,,,,,,,,,,,,,,,
TANZ TAB,10TAB,57.6,11,16,231,0,21,2,0,1210,0,0,208,11981,0,0,**
,,,,,,,,,,,,,,,,,
VERTIGEN TAB,10S,74.1,298,279,622,1200,194,0,5,14375,0,0,1628,120635,0,0,**
,,,,,,,,,,,,,,,,,
VILDOV-50,10S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,,
ZINVITA TAB,30''S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,,
----Total----->>,,0,283793,274724,1300025,111935,301862,0,4072,297790,24623,0,1045268,1045267.99,104069.91,0,
