JYOTI MEDICAL HALL
OPP,SAI KIRAN APTS,NEAR SBI WALKER TOWN
6-1-279/5 PADMARAO NAGAR
SECUNDERABAD-500025
 
Stock and Sales report for ,GENX PHARMA LTD.
between, '01-May-2026,and,'31-May-2026
Product Name,Packing,Opening Qty,Purchase Qty,Total,Sales Qty,EDB,Closing Qty
AD 100MG CAP.       ,10 S   ,  30,   0,  30,  18,   0,  12
AD 10MG SACHET.     ,1BOX   ,   0,   0,   0,   0,   0,   0
GENXVAST 10MG TAB.  ,10 S   ,  50,   0,  50,   0,   0,  50
GENXVAST 20MG TAB.  ,10 S   ,  20,   0,  20,  20,   0,   0
GENXVAST F TAB.     ,10 S   ,  10,   0,  10,   6,   0,   4
ITBOR 100MG TAB     ,7 S    ,  33,   0,  33,   0,   0,  33
LAZ 250MG TAB.      ,6 S    ,  61,   0,  61,   0,   0,  61
LAZ 500MG TAB.      ,6 S    ,  15,   0,  15,   0,   0,  15
LAZINE 5MG TAB.     ,10 S   ,   9,   0,   9,   0,   0,   9
LAZINE M TAB.       ,10 S   , 130,   0, 130,  32,   0,  98
OPOX 100MG DRY SYP. ,30 ML  ,  64, -65,  -1,  -1,   0,   0
OPOX 100MG DT TAB.  ,10 S   ,   0,   0,   0,   0,   0,   0
OPOX 50MG DRY SYP.  ,30 ML  ,  65, -65,   0,   0,   0,   0
OPOX CV 100 DRY SYP.,30 ML  ,  65, -65,   0,   0,   0,   0
OPOX DROPS.         ,10 ML  ,   0,   0,   0,   0,   0,   0
OPOX-200MG TAB.     ,10 S   ,  61,   0,  61,   0,   0,  61
OPOX-50MG DT TAB.   ,10 S   ,  15,   0,  15,   0,   0,  15
OPOX-CV 100DT TAB.  ,10 S   ,   3,   0,   3,   3,   0,   0
OPOX-CV 200MG TAB.  ,10 S   ,  60,   0,  60,   2,   0,  58
OPOX-CV 50MG SUSP.  ,30 ML  , 121,   0, 121,   0,   0, 121
PANTIN 40MG ING.    ,1      , 353,   0, 353, 123,   0, 230
PANTIN 40MG TAB.    ,15 S   ,  64,   0,  64,  22,   0,  42
PANTIN D CAP.       ,10 S   ,  90,   0,  90,  56,   0,  34
PANTIN L TAB.       ,10     ,  79,   0,  79,  78,   0,   1
VERTIGEN TABS       ,10S    ,  27,   0,  27,   3,   0,  24
Opening: ,  71850.58,Purchases:, -13158.60,Sales,  14895.86,Closing,  43796.12
Powered by MetaLinks
