Guddodgi Pharmaceutical Distributors
HETERO-GENX PHARMA-{HBL}-E237
Stock And Sales for the period 01-05-2026 to 31-05-2026

Product Name,Pack,Rate,Previous Last Sale,Previous Sale,Opening,Receipt,Sales,Sales RTN,Sale Value,Purchase RTN,Others,Closing,Cl Value,expQty,nonMoveQty,Flag
** FX-24 SYR,100ML,63.64,0,0,0,0,0,0,0,0,0,0,0,0,0,

ACOTOP ER TAB,10''S,192.17,16,37,62,0,8,0,1708,0,0,54,10377,2,0,

AD-10 SACHETS(TIN),10*1GM,92.6,63,104,114,60,99,0,10186,0,0,75,6945,0,0,

AD-100-CAPS,10''S,87.77,184,201,180,200,244,13,23833,0,0,136,11938,0,0,

AD-10MG DT-TAB,10''S,25.71,0,0,0,0,0,0,0,0,0,0,0,0,0,

AD-30 SACHETS,3GM,7.39,0,0,0,0,0,0,0,0,0,0,0,0,0,

AD-30MG-DT TAB,10''S,48.21,0,0,0,0,0,0,0,0,0,0,0,0,0,

BILASET 20 TAB,10''S,54.58,34,37,65,0,37,0,2244,0,0,28,1528,0,0,

BILASET M TAB,10''S,70.01,97,5,66,65,67,0,5212,0,0,64,4481,0,0,

BIXIVA 5MG TAB,10''S,150.86,0,0,0,10,0,0,0,0,0,10,1509,0,10,**

CLOPID AS TAB,10''S,17.68,0,0,0,0,0,0,0,0,0,0,0,0,0,**

CLOPID TAB,10''S,21.72,0,0,0,0,0,0,0,0,0,0,0,0,0,**

D-PAIN AQ INJ,5*1ML,35.36,0,0,0,0,0,0,0,0,0,0,0,0,0,**

FX 24 120MG TAB,10''S,48.79,0,0,0,0,0,0,0,0,0,0,0,0,0,**

FX 24 SUSP,60ML,55.27,66,0,68,0,52,0,3193,0,0,16,884,0,0,**

GENX-VAST F TAB,10''S,25.65,0,0,0,0,0,0,0,0,0,0,0,0,0,**

GENX-VAST-10MG TAB,10''S,13.35,21,30,40,20,23,0,338,0,0,37,494,0,0,**

GENX-VAST-20MG TAB,10''S,19.41,5,4,11,20,31,0,668,0,0,0,0,0,0,**

GOCAN 150MG TAB,5''S,42.55,108,170,178,150,205,0,9692,0,0,123,5234,0,0,**

HEADRIX TAB,10''S,102.17,0,0,0,10,0,0,0,0,0,10,1022,0,10,**

ITBOR 100MG TAB,10''S,59.93,49,46,81,0,49,0,3263,0,0,32,1918,0,0,**

ITBOR 200MG CAP,10''S,117.12,144,216,180,140,245,0,31882,0,0,75,8784,0,0,**

LAZ AX 250MG TAB,6''S,42.69,0,0,0,0,0,0,0,0,0,0,0,0,0,**

LAZ AX 500MG TAB,3''S,42.69,0,0,0,0,0,0,0,0,0,0,0,0,0,**

LAZ-100 DT TAB,3''S,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,**

LAZ-100 ORAL SUSP,15ML,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,**

LAZ-125MG PLUS TAB,10''S,63.64,0,0,0,0,0,0,0,0,0,0,0,0,0,**

LAZ-200 ORAL SUSP,15ML,23.89,0,0,0,0,0,0,0,0,0,0,0,0,0,**

LAZ-250MG PLUS TAB,10''S,108.64,0,0,0,0,0,0,0,0,0,0,0,0,0,**

LAZ-250MG TAB,6''S,52.53,23,55,58,0,15,0,867,0,0,43,2259,0,0,**

LAZ-500MG TAB,6''S,92.57,17,19,20,120,10,5,1037,0,0,130,12013,0,0,**

LAZINE M KID TAB,10''S,23.89,0,0,0,0,0,0,0,0,0,0,0,0,0,**

LAZINE M TAB,10''S,61.03,46,6,63,0,31,0,2102,0,0,32,1953,0,0,**

LAZINE SYRUP,30ML,18.64,0,0,0,0,0,0,0,0,0,0,0,0,0,**

LAZINE TAB,10''S,36.64,2,0,12,65,0,0,0,0,-12,65,2382,0,0,**

LAZINE-D PLUS TAB,10''S,25.65,0,0,0,0,0,0,0,0,0,0,0,0,0,**

LAZINE-M-DRY SYRUP,30ML,25.93,0,0,0,0,0,0,0,0,0,0,0,0,0,**

LAZ-XL 100MG SUSP,30ML,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,**

LAZ-XL 200MG SUSP,30ML,48.21,0,0,0,0,0,0,0,0,0,0,0,0,0,**

LULIBOR 1% CREAM ,15GM,80.3,184,166,174,210,176,0,15703,0,0,208,16702,0,0,**

LULIBOR 1% CREAM,30GM,160.63,134,148,194,70,165,0,29449,0,0,99,15902,0,0,**

LULIBOR 1% LOTION,30ML,186.38,161,204,245,147,241,3,49909,0,-1,150,27957,0,0,**

MOISTE ALOEVEERA CREAM,50GM,92.59,229,202,216,0,156,0,16049,0,0,60,5555,0,0,**

MOVFOR 200MG CAPSULES,40''S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

NAPIBOR CREAM,30GM,61.07,0,0,0,0,0,0,0,0,0,0,0,0,0,**

OPOX-100MG DRY SYRUP,30ML,92.98,127,109,130,0,83,0,8575,0,0,47,4370,0,0,**

OPOX-100MG DT TAB,10''S,94.46,246,213,96,110,154,0,16162,0,0,52,4912,0,0,**

OPOX-200MG TAB,10''S,101.83,352,414,484,120,291,0,32924,0,-20,293,29836,0,0,**

OPOX-50MG DRY SYRUP,30ML,53.49,298,251,318,0,250,0,14858,0,0,68,3637,0,0,**

OPOX-50MG DT TAB.,10''S,48.17,74,26,56,0,31,0,1659,0,0,25,1204,0,0,**

OPOX-CV 100MG DRY SYRUP,30ML,116.64,63,34,92,0,55,0,7128,0,0,37,4316,0,0,**

OPOX-CV 100MG DT TAB,10''S,106.01,156,156,159,0,90,0,10601,0,0,69,7315,0,0,**

OPOX-CV 200MG TAB,10''S,230.13,120,101,58,120,92,0,23524,0,0,86,19791,0,0,**

OPOX-CV 50MG DRY SYRUP,30ML,80.3,234,126,217,0,81,0,7227,0,0,136,10921,0,0,**

OPOX-DROPS,10ML,52.18,154,72,133,110,142,0,8233,0,-5,96,5009,2,0,**

OPOX-FX 200MG TAB,10''S,89.94,0,0,0,0,0,0,0,0,0,0,0,0,0,**

PANTIN-40 TAB,15''S,71.31,189,180,179,150,197,10,15610,0,0,132,9413,0,0,**

PANTIN-40MG IV,VIAL,10.52,8430,9325,8243,7000,10681,1,124861,0,0,4562,47992,0,0,**

PANTIN-D CAPS ,10''S,64.18,432,465,418,300,511,0,36439,0,0,207,13285,0,0,**

PANTIN-L CAP,10''S,101.49,273,264,328,140,290,1,32700,0,0,178,18065,0,0,**

PANTIN-RD TAB,10''S,44.3,54,74,87,40,67,0,3298,0,0,60,2658,0,0,**

RIFGEM 550MG TAB,10''S,186.43,0,0,0,0,0,0,0,0,0,0,0,0,0,**

RIFGEM-200MG-TAB,10''S,77.14,0,0,0,0,0,0,0,0,0,0,0,0,0,**

RIFGEM-400MG-TAB,10''S,144.64,0,0,0,0,0,0,0,0,0,0,0,0,0,**

RINASE NASAL RINSE,KIT,176.79,0,0,0,0,0,0,0,0,0,0,0,0,0,**

SANITIZER (AZILIUM),100ML,33.26,0,0,0,0,0,0,0,0,0,0,0,0,0,**

SERTABOR CREAM,30GM,167.14,0,0,0,0,0,0,0,0,0,0,0,0,0,**

TANZ TAB,10''S,51.84,34,24,45,0,22,0,1267,0,0,23,1192,0,0,**

TRIKAST TAB,10''S,54.64,0,0,0,0,0,0,0,0,0,0,0,0,0,**

VERTIGEN TAB,10''S,66.69,192,194,259,110,193,5,14301,0,0,176,11737,0,0,**

ZINVITA TAB (TIN),30''S,137.29,0,0,0,0,0,0,0,0,0,0,0,0,0,**

----Total----->>,,0,553959,556751,542924,339440,570349,3646,566703,0,-2924,335491,335490.89,543.1,2811.4,
