,ARIHANT MARKETING
,Stock Statement (SimpleFormat),Print Date 02/06/2026
,HETERO (GENX ),,May-2026
  Code,Product Description      ,Packing,Opening,Receipt,  Sales,Closing, Sales Value, Stock Value
 15567, ACOTOP ER TAB     15 % o,1*10   ,     12,       ,      4,      8,      854.28,     1722.20,
 15569, AD-10 GM SAC            ,10 GM  ,     85,    100,    173,     12,     1780.17,      116.68,
 15568,*AD-100 MG CAP     9 % on,1*10   ,       ,    110,     26,     84,     2535.52,     7741.31,
 15570, BILASET 20 MG     20 % o,1*10   ,      8,     65,     34,     39,     1637.79,     2235.05,
 15571, BILASET 40 MG TAB       ,1*10   ,       ,       ,       ,       ,         .00,         .00,
 15572,*BILASET M TAB     20 % o,1*10   ,    134,       ,     29,    105,     2022.54,     7718.60,
 15573,*BILASET SYRUP     9 % on,60 ML  ,     10,       ,       ,     10,         .00,      775.84,
 15972, BORIT SB 130 MG C 30 % o,1*10   ,       ,       ,       ,       ,         .00,         .00,
 15973, BORIT SB 65 MG CA 30 % o,1*10   ,       ,       ,       ,       ,         .00,         .00,
 15574, GENXVAST 10 MG TAB      ,1*10   ,     36,       ,     26,     10,      381.68,      140.17,
 15575,*GENXVAST 20 MG TAB      ,1*10   ,     49,       ,      1,     48,       21.25,     1028.43,
 15576, GENXVAST-F TAB          ,1*10   ,      6,     20,      6,     20,      198.84,      626.43,
 15577,*GOCAN -150 MG TAB 33 % o,1*1    ,     62,       ,     21,     41,      149.92,      366.36,
 15578,*ITBOR 100 MG CAP  30 % o,1*10   ,     44,       ,      9,     35,      393.24,     2312.02,
 15579,*ITBOR-200 MG CAP  30 % o,1*7    ,     46,       ,     16,     30,     1425.16,     3731.85,
 15582, LAZ-250 MG TAB    15 % o,1*6    ,     32,       ,      6,     26,      288.90,     1434.07,
 15581,*LAZ-500 MG TAB    15 % o,1*6    ,     28,       ,      1,     27,      101.25,     2755.77,
 15580,*LAZINE TAB        23 % o,1*10   ,     40,       ,     16,     24,      529.23,      984.88,
 15583,*LAZINE-M TAB      23 % o,1*10   ,     39,       ,       ,     39,         .00,     2667.54,
 15584, LULIBOR 1 % CREAM       ,30 GM  ,       ,       ,       ,       ,         .00,         .00,
 15585, LULIBOR 1 % LOTION      ,30 ML  ,       ,       ,       ,       ,         .00,         .00,
 15662,*LULIBOR CREAM     30 % o,30 GM  ,     32,       ,      7,     25,     1249.99,     4499.88,
 15586,*LULIBOR CREAM  (1 23 % o,15 GM  ,     83,       ,       ,     83,         .00,     7072.09,
 15686, LULIBOR LOTION    30 % o,30 ML  ,     34,       ,     29,      5,     4555.98,      978.50,
 15587,*MOISTE CREAM      20 % o,50 GM  ,     42,       ,      6,     36,      617.28,     3933.22,
 15588, MOISTE LOTION     16 % o,100 ML ,      3,       ,      3,       ,      608.13,         .00,
 15593,*OPOX 50 DT TAB    9 % on,1*10   ,     50,       ,       ,     50,         .00,     2528.92,
 15589, OPOX DROPS        9 % on,10 ML  ,     23,       ,     17,      6,      927.68,      328.73,
 15594, OPOX- 50 MG SYRUP 23 % o,30 ML  ,     62,       ,     39,     25,     1961.19,     1404.11,
 15590, OPOX-100 DT TAB   9 % on,1*10   ,     64,       ,     38,     26,     3883.15,     2578.76,
 15591, OPOX-100 MG SYRUP 23 % o,30 ML  ,    112,       ,     38,     74,     3925.78,     7224.55,
 15592,*OPOX-200 TAB      15 % o,1*10   ,     40,    300,     61,    279,     5883.28,    29831.10,
 15596,*OPOX-CV 100 DT TA 9 % on,1*10   ,     29,       ,      6,     23,      706.74,     2560.14,
 15595,*OPOX-CV 100 MG SY 23 % o,30 ML  ,    139,       ,     37,    102,     4017.60,    12492.14,
 15597,*OPOX-CV 200  TAB  15 % o,1*10   ,    101,       ,     23,     79,     5369.70,    19089.28,
 15598, OPOX-CV 50  DRY S 23 % o,30 ML  ,     73,       ,     26,     47,     2052.06,     3962.80,
 15600, PANTIN 40 MG TAB  28 % o,1*15   ,     41,       ,     42,       ,     2694.21,         .00,
 15974, PANTIN IV (VIAL)  60 % o,VIAL   ,     18,    350,    308,     60,     3600.08,     2319.66,
 15599,*PANTIN RD TAB           ,1*10   ,     22,       ,      4,     18,      196.88,      837.27,
 15601, PANTIN-D CAP      30 % o,1*10   ,     75,    150,    187,     38,     9270.30,     2560.78,
 15602,*PANTIN-L CAP      25 % o,1*10   ,    684,       ,     45,    639,     4172.12,    68094.72,
 15603, VERTIGEN TAB      9 % on,1*10   ,     51,       ,     47,      6,     3482.70,      424.82,
 ,,,,,,,    71494.62,   209078.67
