JYOTI MEDICAL HALL
OPP,SAI KIRAN APTS,NEAR SBI WALKER TOWN
6-1-279/5 PADMARAO NAGAR
SECUNDERABAD-500025
 
Stock and Sales report for ,HETERO HEALTHCARE LTD.
between, '01-May-2026,and,'31-May-2026
Product Name,Packing,Opening Qty,Purchase Qty,Total,Sales Qty,EDB,Closing Qty
ENUFF 100MG CAP.    ,10 S   ,   0,   0,   0,   0,   0,   0
ENUFF-10MG SACHET.  ,SACHET ,  51,   0,  51,   0,   0,  51
FIX AR TAB.         ,10 S   ,   5,   0,   5,   0,   0,   5
FLUVIR JUNIOR SUSP  ,30ML   , 300,   0, 300,   0,   0, 300
FLUVIR ORAL SUP     ,75ML   , 147,   0, 147,   3,   0, 144
FLUVIR-75 MG CAP    ,10S    , 508,   0, 508, 144,   0, 364
LANOL ER TAB.       ,10 S   , 236,   0, 236,  66,   0, 170
LEVOCET M TAB.      ,10     ,   0,   0,   0,   0,   0,   0
LEVOCET TAB.        ,10     , 260,   0, 260, 142,   0, 118
Opening: , 241299.98,Purchases:,      0.00,Sales,  47321.22,Closing, 193978.76
Powered by MetaLinks
