KADLIMATTI PHARMA
GENX HETERO HEALTH CARE
Stock And Sales for the period 01-05-2026 to 31-05-2026

Product Name,Pack,Rate,Previous Last Sale,Previous Sale,Opening,Receipt,Sales,Free,Sales RTN,Sale Value,Purchase RTN,Others,Closing,Cl Value,expQty,nonMoveQty,Flag
ACOTOP ER TABS,10*S,192.17,0,0,0,60,0,0,0,0,0,0,60,9609,0,60,**

AD 10 SACHETS,10*S 1*GM,9.26,120,150,70,200,130,0,0,1338,0,0,140,1298,0,0,**

AD 100MG CAPS,10,87.77,27,43,14,150,70,0,0,6826,0,0,94,8250,0,0,**

BILASET 20 MG TAB,10*S,54.58,0,0,0,65,10,3,0,607,0,0,52,2183,0,0,**

BILASET M TAB ,10*S,70.01,4,3,155,0,83,24,0,6457,0,0,48,2586,0,0,**

BILASET SYP,60*ML,73.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

BIXIVA TAB,10''S,150.86,0,0,20,0,0,0,0,0,0,0,20,2715,0,20,**

GOCAN 150 MG TAB,1*S,8.51,0,302,15,300,126,63,0,1181,1,0,125,709,0,0,**

HEADRIX TAB,2*S,102.17,15,20,54,0,0,0,0,0,0,0,54,5517,0,0,**

HIFEN 400 TAB,10S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

HIFEN CV 100 DT,10''S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

INZAN IV 100 ML,10*ML,321.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

ITBOR 100MG TAB,10*S,59.93,60,0,0,70,32,12,0,2131,0,-2,24,1027,0,0,**

ITBOR 200 MG CAP,7*S,115.23,3,12,137,0,2,1,0,256,0,0,134,10294,0,0,**

LAZ 250 TAB,6*S,52.53,0,6,114,0,0,0,0,0,0,0,114,4990,0,0,**

LAZ 500 TAB,6*S,92.57,6,0,36,0,5,1,0,514,0,0,30,2314,0,0,**

LAZINE M TAB,10''S,61.03,0,10,83,0,30,9,0,2034,0,0,44,2069,0,0,**

LULIBOR CREAM ,15*GM,80.3,14,25,95,0,14,2,0,1249,5,1,75,4302,0,0,**

LULIBOR CREAM 1%,30 GM,160.63,87,79,67,140,81,30,0,14457,3,3,96,11015,0,0,**

LULIBOR LOTION 1%.,30ML,186.38,40,33,4,80,23,5,0,4763,0,0,56,7828,0,0,**

MOISTE CREAM,50*GM,92.59,17,11,161,0,17,3,0,1749,0,0,141,10054,0,0,**

NAFBOR CREAM 10 GM,10*GM,112.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

OPOX 100 DRY SYP,30 ML,92.98,26,43,61,0,24,6,0,2479,2,2,31,2217,0,0,**

OPOX 100 DT TAB,10 S,94.46,23,47,21,55,39,2,0,4093,0,0,35,3004,0,0,**

OPOX 200 MG TAB,10S,101.83,23,4,102,0,12,1,0,1358,2,0,87,7383,1,0,**

OPOX 50 DRY SYP,30*ML,53.49,23,30,93,0,34,9,0,2021,0,0,50,2057,0,0,**

OPOX 50 DT TAB,10S ,48.17,4,14,42,0,22,2,0,1177,1,1,18,780,0,0,**

OPOX CV 100 DRY SYP,30*ML,116.64,0,2,175,0,2,0,0,259,0,0,173,15522,171,0,**

OPOX CV 100 DT TAB,10*S,106.01,7,3,58,0,6,0,0,707,52,0,0,0,0,0,**

OPOX CV 200 TAB,10S,230.13,3,0,60,0,21,4,0,5370,1,0,34,6520,0,0,**

OPOX CV 50 DRY SYP,30*ML,80.3,20,3,157,0,2,0,0,178,0,0,155,9574,1,0,**

OPOX DROPS,10 ML,52.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

PANTIN 20 TAB,10*S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

PANTIN 40 TAB,15*S,71.31,65,33,125,300,130,65,0,10308,16,11,225,10697,0,0,**

PANTIN 80 TAB,10*S,80.3,0,0,0,60,0,0,0,0,0,0,60,4015,0,60,**

PANTIN D TAB,10S,64.18,50,284,2,450,100,50,0,7131,0,0,302,12922,0,0,**

PANTIN IV INJ,10ML,37.03,2278,7819,886,7000,2185,5300,0,89388,0,-1,400,4208,0,0,**

PANTIN L CAP,10''S,101.57,49,276,164,0,52,9,0,5869,0,0,103,8047,1,0,**

VERTIGEN TAB,10S,66.69,44,39,34,55,25,2,0,1853,0,0,62,3759,0,0,**

----Total----->>,,0,106376,173818,159237,198356,175752,0,0,175752,8213,1424,177467,177467.49,22476.96,21516.8,
