M/S MA TARA MEDICINE ÿÿÿ ÿ         ,From,01-05-26,Upto,31-05-26,
Product & Pack,Opening,Receipt,Issue,Closing Stock,Value
HETERO HEALTHCARE LTD(GEN,,,,,
ACOTOP ER TABS 10S       ,10,0,5,5,960.85
AD 10 SACHETS (1GM*10)   ,64,60,50,74,6852.4
AD 100 MG CAPS 10S       ,63,100,55,108,9479.16
BILASET 20MG TABS 10S    ,17,0,0,17,927.86
BILASET 40MG TABS 10S    ,8,0,0,8,874.32
BILASET M TABS 10S       ,0,0,0,0,0
BIXIVA TABS 5MG 10S      ,40,0,20,20,3017.2
BORIT SB 130MG CAP 10S   ,0,0,0,0,0
BORIT SB 65MG CAPS 10S   ,0,0,0,0,0
GENXVAST 10 MG TABS 10S  ,194,100,79,215,2870.25
GENXVAST 20MG TABS 10S   ,42,0,19,23,446.43
GENXVAST F IP TABS 10S   ,17,50,30,37,1103.71
GOCAN 150 MG TABS 1S***  ,0,0,0,0,0
HETERONOX 1% CREAM 5GM   ,22,0,12,10,867.4
ITBOR 100MG CAPS 10S     ,0,0,0,0,0
ITBOR CAPS 200MG 10S     ,0,210,210,0,0
LAZ 250 TBAS 6S(H)       ,0,0,0,0,0
LAZ 500 TABS 6S(H)       ,10,0,0,10,925.7
LAZINE M TABS 10S        ,136,0,6,130,7933.9
LAZINE TABS 10S          ,154,0,24,130,4760.6
LULIBOR CREAM  15GM      ,16,0,10,6,481.8
LULIBOR CREAM 30GM       ,9,0,9,0,0
LULIBOR LOTION IP 30ML   ,4,0,0,4,745.52
MOISTE 50 GM             ,26,0,3,23,2129.57
MOISTE LOTION 100ML      ,19,0,0,19,3466.36
NAFBOR CERAM 30GM        ,0,0,0,0,0
OPOX 100 DT 10S          ,0,0,0,0,0
OPOX 100 MG DRY SYP 30ML ,0,0,0,0,0
OPOX 200 TABS 10S (H1)   ,7,60,26,41,4175.03
OPOX 50 DRY SYP 30ML(H1) ,0,0,0,0,0
OPOX CV 100 DRY SYP 30(HI,0,0,0,0,0
OPOX CV 100 DT 10S       ,0,0,0,0,0
OPOX CV 200 TABS 10S(H1) ,0,60,12,48,11046.24
OPOX CV 50 DRY SY 1)     ,0,0,0,0,0
PANTIN 40 MG TABS 15S    ,72,0,11,61,4349.91
PANTIN 80 MG TAB 10S     ,0,0,0,0,0
PANTIN D CAPS 10S        ,159,225,222,162,10397.16
PANTIN L CAPS 10S        ,41,280,150,171,17354.79
PANTIN RD TABS           ,32,0,10,22,974.6
TANZ TABS 10S            ,12,180,118,74,3836.16
TOFUS TABS 10S           ,42,0,6,36,8442.36
TREBOR-0.025% 20GM LAMITU,0,0,0,0,0
TREBOR-0.05% 20GM        ,0,0,0,0,0
VERTIGEN TABS 10S        ,17,20,13,24,1600.56
ZEBOR 20% GEL 15GM       ,0,0,0,0,0
ZEBOR GEL 10% 15GM       ,0,0,0,0,0
 COMPANY TOTAL:,84486.6,115195,89658.29,110023.31,110023.31
HETERO HEALTHCARE LIMITED,,,,,
FAS -3 KIT TAB 4S        ,2,0,2,0,0
IMIDIL POWDOR 30GM       ,0,0,0,0,0
IMIDIL SKIN CREAM 15GM   ,0,0,0,0,0
LANOL ER TABLET 10S      ,0,0,0,0,0
LEVOCET M 10S TABS       ,8,0,2,6,460.8
LEVOCET M DRY SYRUP 60ML ,0,0,0,0,0
LEVOCET M KID TABS 10S   ,18,0,0,18,645.12
LEVOCET SYRUP 60ML       ,0,0,0,0,0
LEVOCET TABS 10S         ,94,0,13,81,2937.87
 COMPANY TOTAL:,4401.94,0,713.23,3688.71,3688.71
 GRAND TOTAL:,88888.54,115195,90371.52,113712.02,113712.02
