Trimurti Distributors Pvt.Ltd
HETERO HEALTHCARE LTD (GNEX)
Stock And Sales for the period 01-05-2026 to 31-05-2026

Product Name,Pack,Rate,Previous Last Sale,Previous Sale,Opening,Receipt,Sales,Free,Sales RTN,Sale Value,Purchase RTN,Others,Closing,Cl Value,expQty,nonMoveQty,Flag
ACOTOP ER TAB,10''S,213.52,9,90,117,0,21,1,0,4484,0,0,95,18256,0,0,

AD 10 SACHET,1GM,10.29,280,330,540,0,490,0,0,5043,0,0,50,515,0,0,

AD 100 CAP,10''S,97.52,38,124,186,600,164,0,10,16020,0,0,622,60661,0,0,

B BOLD PATCHES,5''S,203.43,0,0,50,0,14,1,0,2848,0,0,35,6408,0,0,

BILASET 20 TAB,10''S,60.65,21,49,73,65,55,13,0,3336,0,0,70,3470,0,0,

BILASET M SUSPENSION,60ML,83.96,0,0,0,100,27,3,0,2267,0,0,70,5289,0,0,

BILASET M TAB,10''S,77.79,83,55,95,0,30,11,13,2567,0,0,54,3361,0,0,

BIXIVA TAB 5MG,10''S,167.62,0,0,100,0,0,0,0,0,0,0,100,15086,0,100,**

GENXVAST 10 TAB,10''S,14.68,96,100,104,100,155,0,0,2275,0,0,49,718,0,0,**

GENXVAST 20 TAB,10''S,21.56,51,33,120,0,44,0,0,949,0,0,76,1639,0,0,**

GOCAN 150 TAB,1''S,9.37,519,570,1659,0,436,218,0,4085,0,0,1005,6305,0,0,**

ITBOR 100 CAP,10''S,66.59,69,276,151,140,50,19,0,3330,0,0,222,11086,2,0,**

ITBOR 200 CAP,10''S,130.13,45,74,245,0,167,78,0,21732,0,0,0,0,0,0,**

LAZ 250 TAB,6''S,57.78,84,42,79,0,61,11,0,3525,0,0,7,334,0,0,**

LAZ 500 TAB,6''S,102.86,8,18,220,0,5,1,0,514,0,0,214,18334,0,0,**

LAZINE M TAB,10''S,67.81,141,37,266,0,8,1,0,543,0,0,257,13942,0,0,**

LAZINE TAB,10''S,37.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

LULIBOR 1% CREAM,30GM,178.48,27,31,134,0,24,8,0,4284,0,0,102,13654,0,0,**

LULIBOR 1% LOTION ADVANCED,30ML,207.09,89,105,234,0,87,43,0,18017,0,0,104,14445,0,0,**

LULIBOR CREAM,15GM,89.22,12,22,86,0,13,1,0,1160,0,0,72,5353,0,0,**

MOISTE CREAM,50GM,102.88,90,132,188,0,51,8,0,5247,0,0,129,11060,0,0,**

OPOX 100 DRY SYRUP,30ML,103.31,279,321,392,0,217,47,0,22418,0,0,128,10579,0,0,**

OPOX 100 DT TAB,10''S,104.95,144,167,312,0,130,5,4,13644,0,0,177,16719,0,0,**

OPOX 200 TAB,10''S,113.14,312,412,3110,0,1062,93,16,120381,0,0,1955,184324,0,0,**

OPOX 50 DRY SYRUP,30ML,59.43,215,205,331,130,237,57,0,14085,0,0,167,7941,39,0,**

OPOX 50 DT TAB,10''S,53.52,16,32,79,0,51,5,0,2730,0,0,23,1108,0,0,**

OPOX CV 100 SYRUP,30ML,129.6,73,77,175,0,59,13,0,7646,0,0,103,10876,37,0,**

OPOX CV 100 TAB,10''S,117.86,61,98,144,0,61,2,3,7186,0,0,81,8590,0,0,**

OPOX CV 200 TAB,10''S,255.7,151,143,214,0,95,12,6,24547,0,0,107,22800,104,0,**

OPOX CV 50 DRY SYRUP,30ML,89.22,48,80,200,0,40,2,0,3569,0,0,158,11284,140,0,**

OPOX DROP,10ML,57.98,127,129,104,55,72,1,19,4175,0,0,86,4532,2,0,**

PANTIN 40 TAB,15''S,79.24,294,227,334,0,182,80,0,14427,0,0,72,4288,0,0,**

PANTIN 80 TAB,10''S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**

PANTIN D CAP,10''S,71.31,443,592,878,0,407,203,0,29023,0,0,268,12741,0,0,**

PANTIN IV,VIAL,40.91,2815,4274,2875,3500,1790,3959,0,67447,0,0,626,7317,0,0,**

PANTIN L CAP,10''S,112.76,123,200,392,0,148,33,0,16688,0,0,211,19827,0,0,**

VERTIGEN TAB,10''S,74.1,190,134,148,110,135,8,0,10004,0,0,115,7747,0,0,**

----Total----->>,,0,300724,377709,851408,129514,466685,0,6492,460193,0,0,540585,540585.47,46446.61,16762,
