o;?S K Distributors,,,,,,,,,,,,,,,,
GENX,,,,,,,,,,,,,,,,
Stock And Sales for the period 01-05-2026 to 31-05-2026,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Product Name,Pack,Rate,Previous Last Sale,Previous Sale,Opening,Receipt,Sales,Sales RTN,Sale Value,Purchase RTN,Others,Closing,Cl Value,expQty,nonMoveQty,Flag
ACOTOP ER TAB,10''S,192.21,0,3,27,0,0,0,0,0,0,27,5190,0,0,**
,,,,,,,,,,,,,,,,
AD 10 DT TAB,10''S,27.17,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,
AD 10 SACHET,1GM1,9.26,5,25,70,0,70,0,720,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,
AD 100 CAP,10''S,87.77,37,67,17,50,67,0,6534,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,
AD 30 DT TABLET,10''S,48.21,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,
AD 30 SACHET,3GM,7.39,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,
BILASET M SUSP,60ML,75.57,0,0,0,50,0,0,0,0,0,50,3779,0,50,**
,,,,,,,,,,,,,,,,
BILASET M TAB,10''S,70.01,242,90,318,0,212,0,13224,0,0,106,7421,0,0,**
,,,,,,,,,,,,,,,,
BILASET TAB,10''S,54.58,7,46,247,0,136,0,6368,0,0,111,6058,0,0,**
,,,,,,,,,,,,,,,,
BIXIVA 5 TAB,10''S,150.86,0,0,20,50,30,0,4526,0,0,40,6034,0,0,**
,,,,,,,,,,,,,,,,
D3 RICH 60.000 CAP,4''S,63.09,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,
GENXVAST 10 TAB,10''S,13.35,34,103,163,200,96,0,1409,0,0,267,3564,0,0,**
,,,,,,,,,,,,,,,,
GENXVAST 20 TAB,10''S,19.41,148,248,112,0,112,0,2415,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,
GENXVAST F TAB,10''S,29.83,0,2,8,0,8,0,265,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,
GOCAN 150 TAB,1''S,8.51,285,555,61,600,630,0,3935,0,0,31,264,0,0,**
,,,,,,,,,,,,,,,,
HEADRIX TAB,2''S,102.17,5,0,45,0,7,0,795,0,0,38,3882,0,0,**
,,,,,,,,,,,,,,,,
ITBOR 100 CAP,10,59.93,88,96,216,0,140,0,6726,0,0,76,4555,0,0,**
,,,,,,,,,,,,,,,,
ITBOR 200 CAP,10,117.12,176,129,130,140,152,0,13924,0,0,118,13820,0,0,**
,,,,,,,,,,,,,,,,
LAZ 100 DT,3''S,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,
LAZ 250 PLUS TAB,10''S,108.64,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,
LAZ 250 TAB,6''S,52.53,66,54,133,0,12,0,578,0,0,121,6356,0,0,**
,,,,,,,,,,,,,,,,
LAZ 250MG TAB,6''S,51.75,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,
LAZ 500 TAB,6''S,92.57,106,13,123,0,36,0,3086,0,0,87,8054,0,0,**
,,,,,,,,,,,,,,,,
LAZINE D TAB,10''S,25.65,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,
LAZINE M TAB,10''S,61.03,0,67,133,0,0,0,0,0,0,133,8117,0,0,**
,,,,,,,,,,,,,,,,
LAZINE SYP,30ML,18.64,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,
LAZINE TAB,10''S,36.64,7,6,37,0,36,0,1221,0,0,1,37,0,0,**
,,,,,,,,,,,,,,,,
LULIBOR 1% CREAM,30GM,160.63,75,29,0,140,85,0,11066,0,0,55,8835,0,0,**
,,,,,,,,,,,,,,,,
LULIBOR 1% LOTION,30ML,186.43,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,
LULIBOR CREAM(SMALL),15 GM,80.3,8,124,248,0,5,0,446,0,0,243,19513,0,0,**
,,,,,,,,,,,,,,,,
LULIBOR LOTION ADVANCED,30ML,186.38,53,220,222,133,189,0,27129,0,0,166,30939,0,0,**
,,,,,,,,,,,,,,,,
MOISTE CREAM,50GM,92.59,9,52,162,0,66,0,5453,0,0,96,8889,0,0,**
,,,,,,,,,,,,,,,,
NAFBOR CREAM,10GM,112.5,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,
NAFBOR CREAM,30GM,305.36,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,
NAPIBOR LAMI TUBE,30GM,61.07,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,
OPOX 100MG SYP,30ML,92.98,44,46,126,0,70,0,5992,0,0,56,5207,0,0,**
,,,,,,,,,,,,,,,,
OPOX 100MG TAB,10''S,94.46,55,54,96,0,64,0,6087,0,0,32,3023,0,0,**
,,,,,,,,,,,,,,,,
OPOX 200MG TAB,10''S,101.83,232,250,165,910,810,0,73767,0,0,265,26985,0,0,**
,,,,,,,,,,,,,,,,
OPOX 50 SYP,30 ML,53.49,63,59,107,0,107,0,5230,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,
OPOX 50 TAB,10''S,48.17,3,27,5,55,13,0,642,0,0,47,2264,0,0,**
,,,,,,,,,,,,,,,,
OPOX CV 100 SYP,30ML,116.68,68,30,190,0,14,0,1556,0,0,176,20536,176,0,**
,,,,,,,,,,,,,,,,
OPOX CV 100 TAB,10''S,106.01,64,40,45,55,66,0,7067,0,0,34,3604,0,0,**
,,,,,,,,,,,,,,,,
OPOX CV 200 TAB,10''S,230.13,89,59,169,0,161,0,34521,0,0,8,1841,8,0,**
,,,,,,,,,,,,,,,,
OPOX CV 50 SYP,30ML,80.3,73,69,135,0,40,0,2944,0,0,95,7629,0,0,**
,,,,,,,,,,,,,,,,
OPOX DROPS,10ML,52.18,6,0,3,55,4,0,232,0,0,54,2818,0,0,**
,,,,,,,,,,,,,,,,
PANTIN 20 TAB,10''S,18.32,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,
PANTIN 40 TAB,15''S,71.31,566,614,961,750,663,0,37164,0,0,1048,74733,0,0,**
,,,,,,,,,,,,,,,,
PANTIN 80 TAB,10''S,80.35,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,
PANTIN D TAB,10''S,64.18,1418,2851,612,3750,2211,0,112407,0,0,2151,138051,0,0,**
,,,,,,,,,,,,,,,,
PANTIN IV,VIAL,36.82,2126,3929,6071,7000,4011,0,47251,0,0,9060,333589,0,0,**
,,,,,,,,,,,,,,,,
PANTIN L CAP,10''S,101.49,373,611,301,750,314,0,28303,0,0,737,74798,0,0,**
,,,,,,,,,,,,,,,,
PANTIN RD TAB,10''S,44.3,10,10,13,0,10,0,492,0,0,3,133,0,0,**
,,,,,,,,,,,,,,,,
PANTIN Z CAP,10''S,52.57,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,
RINASE,10ML,176.79,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,
SERTABOR 2% 30GM CREAM,30GM,167.14,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,
TANZ TAB (F),10''S,51.84,2,19,109,0,13,0,576,0,0,96,4977,0,0,**
,,,,,,,,,,,,,,,,
TRIKAST TAB,10''S,54.64,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,
TULOMAX PATCH 0.5 MG,1,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,
TULOMAX PATCH 1 MG...,1,25.71,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,
TULOMAX PATCH 2MG,1,28.93,0,0,0,0,0,0,0,0,0,0,0,0,0,**
,,,,,,,,,,,,,,,,
VERTIGEN TAB,10''S,66.69,153,212,137,600,283,0,19488,0,0,454,30277,0,0,**
,,,,,,,,,,,,,,,,
----Total----->>,,0,327169,452908,685735,0,493539,0,493539,0,0,875770,875770.28,24862.32,4198,
