,SHREE PIONEER PHARMA,,,,,,,,,,,,
,Stock Statement,Print Date 01/06/2026,,,,,,,,,,,
,HETERO {GENX PHARMA LIMITED},May-26,,,,,,,,,,,
  Code,Product Description     ,Packing,Opening,Receipt,Stk-Out,    Mar,    Apr,  Sales,StockIn,Closing, Stock Value, Sales Value,
88603,ACOTOP ER TAB            ,10,S   ,       ,       ,       ,       ,10,       ,       ,       ,0,0
88604,AD 100MG CAP.            ,10`S   ,       ,       ,       ,20,40,1,1,       ,0,97.52,
88606,AD 10MG SACHETS          ,1GM    ,       ,       ,       ,100,253,       ,       ,       ,0,0,
88610,BILASET 20MG TAB.        ,10`S   ,3,       ,       ,       ,       ,3,       ,       ,0,167.01,
88611,BILASET M TAB            ,10,S   ,       ,       ,       ,20,20,       ,       ,       ,0,0
24381,BILASET SYRUP            ,60 ML  ,       ,       ,       ,       ,       ,       ,       ,       ,0,0,
88624,"GENXVAST ""F"" IP TAB.     ",10`S   ,19,       ,       ,1,       ,2,       ,17,532.47,66.28,
88625,GENXVAST 10MG TAB.       ,10`S   ,       ,       ,       ,92,158,       ,       ,       ,0,0,
88626,GENXVAST 20MG TAB.       ,10`S   ,24,       ,       ,66,112,26,5,3,61.14,537.81,
88628,GOCAN 150MG              ,1`S    ,22,       ,       ,10,3,9,       ,13,116.16,76.59,
88631,ITBOR 100 CAP.           ,10T    ,11,       ,       ,       ,       ,       ,       ,11,695.32,0,
88632,ITBOR 200MG CAP.         ,10`S   ,4,       ,       ,6,       ,       ,       ,4,491.9,0,
88638,LAZ 250                  ,6`S    ,12,       ,       ,12,8,7,       ,5,275.78,404.46,
88640,LAZ 500                  ,6`S    ,1,       ,       ,3,7,       ,       ,1,97.2,0,
88645,LAZINE  TAB.             ,10`S   ,4,       ,       ,2,6,       ,       ,4,153.8,0,
88648,"LAZINE ""M"" TAB.          ",10`S   ,3,       ,       ,8,9,3,       ,       ,0,186.75,
88652,LULIBOR 1% CREAM {B}     ,30GM   ,5,       ,       ,       ,1,2,       ,3,505.98,356.96,
88653,LULIBOR 1% CREAM SMALL   ,15GM   ,       ,       ,       ,       ,       ,       ,       ,       ,0,0,
88665,OPOX 100 DT              ,10`S   ,4,       ,       ,3,3,1,       ,3,297.55,104.95,
88666,OPOX 100MG SYP.          ,30ML   ,7,       ,       ,21,13,6,       ,1,97.63,619.86,
88667,OPOX 200 TAB.            ,10`S   ,4,       ,       ,15,11,4,       ,       ,0,452.56,
88668,OPOX 50DT                ,10`S   ,       ,       ,       ,       ,       ,       ,       ,       ,0,0,
88669,OPOX 50MG DRY SYP.       ,30ML   ,       ,       ,       ,10,15,2,2,       ,0,109.12,
88671,OPOX CV 100 DRY SYP.     ,30ML   ,11,       ,       ,17,16,6,       ,5,612.36,777.84,
88670,OPOX CV 100 DT           ,10 S   ,14,       ,       ,8,10,5,2,11,1224.42,588.95,
88672,OPOX CV 200 {H1}         ,10`S   ,       ,       ,       ,30,52,       ,       ,       ,0,0,
88674,OPOX CV 50MG SYP.        ,30ML   ,18,       ,       ,       ,2,4,       ,14,1180.41,356.88,
88678,"PANTIN ""D""               ",10`S   ,       ,       ,       ,3,5,       ,       ,       ,0,0,
88680,"PANTIN ""L"" CAP           ",10`S   ,       ,       ,       ,5,6,       ,       ,       ,0,0,
88681,"PANTIN ""RD"" TAB.         ",10`S   ,       ,       ,       ,9,11,       ,1,1,46.52,0,
88683,PANTIN 40MG TAB.         ,15s    ,       ,       ,       ,10,10,       ,       ,       ,0,0,
88697,TANZ TAB.                ,10`S   ,       ,       ,       ,1,       ,       ,       ,       ,0,0,
88701,VERTIGEN TAB.            ,10`S   ,       ,       ,       ,9,11,       ,       ,       ,0,0,
,,,,,,,,Totals ,6388.64,4903.54,,,
