SHRIDEVI MEDICAL DISTRIBUTORS
HETERO-GENX PHARMA LTD
Stock And Sales for the period 01-05-2026 to 31-05-2026

Product Name,Pack,Rate,Previous Last Sale,Previous Sale,Opening,Receipt,Sales,Free,Sales RTN,Sale Value,Purchase RTN,Others,Closing,Cl Value,expQty,nonMoveQty,Flag
AD-10 SACHET,1`S,9.26,251,245,79,300,220,0,0,2264,0,0,159,1472,0,0,
AD-100 CAP,10`S,87.77,120,70,17,60,54,0,0,5266,0,0,23,2019,0,0,
BILASET 20MG TAB,10`S,54.58,0,41,8,65,4,1,0,243,0,0,68,3056,0,0,
BILASET M TAB,10`S,70.01,41,69,261,0,100,30,0,7779,0,0,131,7337,0,0,
BIXIVA TABS 5MG 10S,10S,150.86,0,0,20,0,0,0,0,0,0,0,20,2715,0,20,**
GENXVAST 10MG TAB,10`S,13.35,69,42,18,50,35,0,0,514,0,0,33,441,0,0,**
GENXVAST 20MG TAB,10`S,19.41,33,49,1,50,50,0,0,1078,0,0,1,19,0,0,**
GOCAN 150 TAB,1`S,8.51,132,660,497,450,270,135,0,2530,0,0,542,3336,0,0,**
HEADRIX TAB,10''S,102.17,0,5,25,0,25,0,0,2838,0,0,0,0,0,0,**
ITBOR 100MG CAP,10`S,59.93,3,0,156,0,0,0,0,0,0,0,156,6229,0,0,**
ITBOR 200MG CAP,7`S,117.12,0,102,128,70,66,33,0,8589,0,0,99,8413,0,0,**
LASMIG 100MG 4`S ,1,180,0,0,20,0,0,0,0,0,0,0,20,3600,0,20,**
LASMIG 50MG 4`S,1,128.57,0,0,20,0,0,0,0,0,0,0,20,2571,0,20,**
LAZ-250 TAB,6`S,52.53,66,48,144,0,55,11,0,3178,0,0,78,3625,0,0,**
LAZ-500 TAB,5`S,92.57,0,54,71,60,5,1,0,514,0,0,125,9643,0,0,**
LAZINE M TAB,10`S,67.8,0,16,35,0,0,0,0,0,0,-4,31,1578,0,0,**
LIVMATE SYR 200 ML,200 ML,96.34,0,5,21,0,0,0,0,0,0,0,21,1619,0,0,**
LULIBOR 1% CREAM,30 GM,160.63,24,3,68,0,13,5,0,2320,0,0,50,6024,0,0,**
LULIBOR 1% CREAM,15 GM,80.3,14,13,38,70,11,3,0,981,0,0,94,5698,0,0,**
LULIBOR 1% LOTION,30 ML,186.38,42,87,37,67,13,5,0,2692,0,0,86,13031,0,0,**
MOISTE CREAM,50GM,92.59,20,9,86,0,21,4,0,2160,0,0,61,4345,0,0,**
OPOX 100MG DRY SYP,30 ML,92.98,163,39,89,0,0,0,0,0,0,0,89,8136,0,0,**
OPOX 50 DRY SYP,30 ML,53.49,272,177,224,130,53,15,0,3150,0,0,286,12239,0,0,**
OPOX CV 100 DRY SYP,30 ML,116.64,42,12,82,0,14,3,0,1814,5,-11,49,4572,0,0,**
OPOX CV 100 TAB,10`S,106.01,55,13,111,0,40,4,0,4712,0,0,67,6392,0,0,**
OPOX CV 200 TAB,10`S,230.13,21,30,118,0,2,0,0,511,0,-116,0,0,0,0,**
OPOX CV 50 DRY SYP,30 ML,80.3,12,20,140,0,12,3,6,1160,0,0,125,9170,0,0,**
OPOX DROPS,10ML,52.18,22,0,97,0,18,2,0,1044,0,-7,70,3287,0,0,**
OPOX-100 TAB,10`S,94.46,88,40,171,55,36,4,0,3778,0,0,186,15860,0,0,**
OPOX-200 TAB,10`S,101.83,132,48,365,0,115,23,0,13011,0,0,227,19263,0,0,**
OPOX-50 TAB,10`S,48.17,50,0,111,0,18,2,0,963,0,0,91,3945,0,0,**
PANTIN 40MG TAB,15`S,71.31,42,255,286,300,22,11,0,1743,0,0,553,26290,0,0,**
PANTIN 80MG TAB,10`S,80.3,0,0,75,0,0,0,0,0,0,0,75,4015,0,75,**
PANTIN I.V.,1`S,36.82,2864,5775,610,7000,1250,3059,0,51138,0,0,3301,34727,0,0,**
PANTIN L CAPS,10`S,101.49,93,37,118,0,69,19,0,7780,0,0,30,2537,0,0,**
PANTIN RD TAB,10`S,44.3,23,0,141,0,6,0,0,296,0,0,135,5983,0,0,**
PANTIN-D(40/30) CAPS,10`S,64.18,369,474,127,450,376,187,0,26813,0,0,14,599,0,0,**
TANZ TAB,10`S,51.84,0,0,199,0,50,14,0,2880,1,-134,0,0,0,0,**
VERTIGEN TAB,10`S,66.69,66,34,78,0,37,3,0,2742,0,0,38,2304,0,0,**
----Total----->>,,0,167193,194137,271857,156011,166927,0,446,166481,635,-35561,246089,246088.87,0,16901.1,
