SRI MAHESH PHARMA
SMP BUILDING PLOT NO 79
ASHA CO OPERATIVE SOCIETY SBH COLONY ROAD NO 1
TRIMULGERRY, SEC-BAD- 15
GSTIN: 36ACCFS0488G1Z1
 
Stock and Sales report for HETERO GENIX PHARMA
between 01-May-2026 and 31-May-2026                               Page - 1
Product Name,Packing,Opening,Pur,Total ,Sales,EDB,Closing Stock
AD-10 SACHET         ,     1 S     ,  30,    0 ,   30 ,  30 ,   0 ,     0
BILASET M TABLET     ,     10 S    ,  66,    0 ,   66 ,  10 ,   0 ,    56
GENXVAST 10MG        ,     10 S    ,   0,    0 ,    0 ,   0 ,   0 ,     0
GENXVAST 20MG        ,     10 S    ,   2,    0 ,    2 ,   0 ,   0 ,     2
GENXVAST F TABLET    ,     10 S    ,   0,    0 ,    0 ,   0 ,   0 ,     0
ITBOR 100 MG CAPSULE ,     10 S    ,  45,    0 ,   45 , -30 ,   0 ,    75
ITBOR 200 MG CAPSULE ,     10 S    ,  31,    0 ,   31 , -30 ,   0 ,    61
LAZ 250 MG TABLET    ,     6 S     ,  27,    0 ,   27 , -20 ,   0 ,    47
LAZ 500 MG TABLET    ,     6 S     ,  75,    0 ,   75 , -24 ,   0 ,    99
LAZINE M TAB         ,     10 S    ,  27,    0 ,   27 , -27 ,   0 ,    54
LAZINE TAB           ,     10 S    ,  53,    0 ,   53 ,   1 ,   0 ,    52
LULIBOR CREAM        ,     30 GMS  ,   5,    0 ,    5 ,   2 ,   0 ,     3
MOISTE CREAM         ,     50GM    ,  17,    0 ,   17 ,   9 ,   0 ,     8
OPOX 100 DT TABLET   ,     10 S    ,  20,    0 ,   20 , -15 ,   0 ,    35
OPOX 100 MG DRY SYRU ,     30 ML   , 185,    0 ,  185 ,  -6 ,   0 ,   191
OPOX 200 MG TABLET   ,     10 S    ,  71,    0 ,   71 ,  28 ,   0 ,    43
OPOX 50MG DRY SYRUP  ,     30ML    ,  39,    0 ,   39 , -16 ,   0 ,    55
OPOX CV 100 DRY SYRU ,     30 ML   ,  87,    0 ,   87 , -19 ,   0 ,   106
OPOX CV 100 DT TABLE ,     6 S     ,  20,    0 ,   20 ,  -2 ,   0 ,    22
OPOX CV 200 MG TABLE ,     6 S     ,  60,    0 ,   60 ,   0 ,   0 ,    60
OPOX CV 50 DRY SYRUP ,     30 ML   ,  38,    0 ,   38 , -26 ,   0 ,    64
VERTIGEN TABLET      ,     10 S    ,  22,    0 ,   22 ,  11 ,   0 ,    11
          Opening Value :     ,  67064.68  , Purchase Value :    ,      0.00
          Sale    Value :     ,  -8641.76 ,  Closing  Value :    ,  75706.44
Powered by MetaLinks                                                                    End.
