Suprabhat Pharmaceuticals Pvt Ltd
HETERO (GENX)
Stock And Sales for the period 01-05-2026 to 31-05-2026

Product Name,Pack,Rate,Previous Last Sale,Previous Sale,Opening,Receipt,Sales,Free,Sales RTN,Sale Value,Purchase RTN,Others,Closing,Cl Value,expQty,nonMoveQty,Flag
AD 10 SACHET 1GMX10,1GMX10,102.9,10,5,5,10,5,0,0,515,0,0,10,1029,0,0,
AD 100 CAP 10S,10`S,97.52,39,41,69,100,72,0,0,7021,0,0,97,9459,0,0,
AD10 DT,10`S,30.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BILASET 20MG TAB,10`S,85.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BILASET M TAB,10`S,206.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BORIT SB 130MG CAP,10`S,34.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BORIT SB 65MG CAP 10 S,10`S,22.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FX 24 120 MG TAB 10 S,10`S,49.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FX 24 180 MG TAB 10 S,10`S,63.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FX 24 SUSP,60 ML,46.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FX 24 SYR 100 ML,100 ML,70.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GENXVAST 10MG @,10`S,9.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GENXVAST 20MG @,10`S,14.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GENXVAST F TAB,10`S,30.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GOCAN 150MG @,1 S,9.37,150,5,115,0,0,0,0,0,0,0,115,1078,0,0,**
HETERONOX 1% CREAM 10 GM,10 GM,160.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**
HETERONOX 1% CREAM 5 GM,5GM,96.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**
ITBOR 100MG CAP 10 S,10`S,66.59,0,2,73,0,0,0,0,0,0,0,73,4861,0,0,**
ITBOR 200MG CAP,7`S,130.21,5,0,32,0,0,0,0,0,0,0,32,4158,1,0,**
LAZ 250 TAB @,6`S,56.92,0,0,10,0,0,0,0,0,0,0,10,569,0,0,**
LAZ 500  TAB @ 6 S,6`S,101.25,0,0,44,0,0,0,0,0,0,0,44,4455,0,44,**
LAZ 500 MG TAB 5 S,5`S,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**
LAZINE 5MG TAB,10`S,40.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**
LAZINE M DRY SYR,30ML,26.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**
LAZINE M KID TAB,10`S,26.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**
LAZINE M TAB,10`S,67.81,0,0,40,0,6,0,0,407,0,0,34,2306,0,0,**
LAZINE SYR,30ML,20.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**
LULIBOR 1% CREAM 15GM,15 GM,89.22,0,0,0,70,0,0,0,0,0,0,70,6245,0,0,**
LULIBOR 1% CREAM 30GM,30 GM,178.48,0,2,68,0,23,0,0,4105,0,0,45,5737,0,0,**
LULIBOR 1% LOTION 30ML,30 ML,207.09,10,12,26,80,27,0,0,5591,0,0,79,12322,0,0,**
MOISTE CREAM,50 GM,102.88,3,62,65,0,22,0,0,2263,0,0,43,3403,0,0,**
OPOX 100 DRY SYR,30ML,103.31,7,0,132,0,3,0,0,310,0,0,129,10252,0,0,**
OPOX 100 DT,10`S,104.95,12,0,49,66,15,0,0,1574,0,0,100,10138,0,0,**
OPOX 200,10`S,113.14,45,44,90,0,16,0,0,1810,0,0,74,8372,0,0,**
OPOX 50 DRY SYR,30ML,59.43,16,5,54,130,54,0,0,3209,0,0,130,7726,0,0,**
OPOX 50 DT,10`S,53.52,12,2,54,55,30,0,0,1606,0,0,79,4228,0,0,**
OPOX CV 100 DRY SYRUP,30 ML,129.6,0,5,39,0,3,0,0,389,0,0,36,4666,36,0,**
OPOX CV 100 DT,10`S,117.79,15,13,44,0,10,0,0,1178,0,0,34,3769,0,0,**
OPOX CV 200 DT,10`S,255.7,9,7,31,0,3,0,0,767,0,0,28,7160,28,0,**
OPOX CV 50 DRY SYP,30 ML,89.22,0,14,123,0,11,0,0,981,0,-3,109,7481,0,0,**
OPOX CV 50 DT,10`S,45.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**
OPOX DROPS,10ML,57.98,52,22,76,55,51,0,0,2957,0,0,80,4580,1,0,**
PANTIN 20,10`S,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**
PANTIN 40,15`S,79.24,17,25,78,0,4,0,0,317,0,0,74,5864,0,0,**
PANTIN D 40/30 CAP,10`S,71.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**
PANTIN IV,VIAL,40.91,295,364,3270,0,1261,0,0,51588,0,0,2009,23482,0,0,**
PANTIN L CAP,10`S,112.76,48,47,20,140,10,0,0,1128,0,-20,130,14659,0,0,**
PANTIN RD TAB,10`S,49.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**
VERTIGEN TAB,10`S,74.1,4,36,55,55,25,0,0,1853,0,0,85,6299,0,0,**
ZINVITA TAB,30`S,152.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**
----Total----->>,,0,43961,50546,157033,74241,89569,0,0,89569,0,-2523,174297,174297.05,12011.22,4455,
