Dn,PrCode ,Product Description           ,Unit ,OBQty  ,OBVal    ,RcptQty,RcptVal  ,CBQty  ,CBVal    ,AdjQty ,SaleQty,SaleVal
00,0015268,ACOTOP ER TAB                 ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015049,ALFAPSIN 50mg CAP             ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015170,BALOTERO 100mg TABS           ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015038,BAXIN 250 KID TAB             ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015019,BAXIN 500MG INJ               ,2ml  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015022,BAXIN D 500 CAPS              ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015067,BAXIN D LB CAPS               ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015048,BONFAST CAP                   ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015128,CC-CURE TABS                  ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015161,CDCV 250 DT TABS              ,6s   ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015162,CDCV 500 TABS                 ,6s   ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015033,CEPROL 600mg TABS             ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015027,CETRABEN CREAM 125 GM         ,125gm,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015023,CETRABEN CREAM 50gm           ,50gm ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015184,CHHOO TABS                    ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015020,CUFREST 100ml                 ,100ml,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015166,DIRAB-10 TABS                 ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015165,DIRAB-5 TABS                  ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015167,DIRAB-D CAPS                  ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015083,DYDROPAL 10 TAB               ,10s  ,     0 ,       0 ,   340,  119680,   167 ,   58784 ,     1 ,   172,   60544
00,0015002,ECO-ALL LIQUID                ,5ml  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015230,ECO-ALL SACHET                ,1gm  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015100,ENUFF O DRY SYP 30ML          ,30ML ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015211,EXTEL 20 TABLETS              ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015212,EXTEL 40 Tabs 10s             ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015219,EXTEL 80 Tabs 10s             ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015213,EXTEL AM Tabs 10s             ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015218,EXTEL CT 80 Tabs 10s          ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015214,EXTEL CT FORTE Tabs 10s       ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015051,FAS-3 KIT                     ,KIT  ,   502 ,   51204 ,   840,   85680,   418 ,   42636 ,     1 ,   923,   94146
00,0015074,FEMINORA GEL VAGINAL          ,3s   ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015196,FEXONA TABS                   ,10s  ,     4 ,     372 ,     0,       0,     3 ,     279 ,     0 ,     1,      93
