Dn,PrCode ,Product Description           ,Unit ,OBQty  ,OBVal    ,RcptQty,RcptVal  ,CBQty  ,CBVal    ,AdjQty ,SaleQty,SaleVal
00,0079054,D-PAIN AQ 1ml INJ             ,1ml  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0079067,D-PAIN PLUS TAB               ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0079066,D-PAIN TAB                    ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0079078,D3 RICH 60000IU SACHET        ,1gm  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0079079,D3 RICH DROPS 400IU           ,15ml ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0016234,DECON PD SPRAY NEW            ,10ml ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0079016,LAZ 100 DT TABS               ,3s   ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0079017,LAZ 100 ORAL SUSP             ,10ml ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0079018,LAZ 200 ORAL SUSP             ,10ml ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0079085,LAZ XL 200 SUSPENSION         ,30ml ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0079061,LAZ-AX 250 TABS               ,6s   ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0079062,LAZ-AX 500 TABS               ,3s   ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0079075,LAZINE M DRY SYP 30ml         ,30ml ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0079038,MOISTE SPF 20 LOTION          ,80ml ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0079039,MOISTE SPF 45 LOTION          ,80ml ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0079072,OPOX FX 100 TAB               ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0079073,OPOX FX 200 TAB               ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0079031,PANTIN 80mg TAB               ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
