                             VISHNU MEDICAL AGENCIES
                 #16-6-48, NUT BAZAR ,HINDUPUR 37-ANDHRA PRADESH
        Phone : 9440155822,9985573707 E-Mail : vishnumedical007@gmail.com
                             GSTIN : 37ADFPK1931L1ZG

       STOCK & SALES ANALYSIS  (GENIX PHARMA LTD.) 01-05-2026 - 31-05-2026

--------------------------------------------------------------------------------
ITEM DESCRIPTION                       OPENING   RECEIPT     ISSUE   CLOSING

--------------------------------------------------------------------------------
ACOTOP ER TAB              10'S              0         0         0         0
AD 10 SAC                  1G               70       300       200       170
AD 100                     1X10'S           74         0        20        54
BILASET 20 TAB             10'S             50       -15         0        35
BILASET M TAB              10'S            267         0        39       228
GENVAST 20 MG              1X10'S            0         0         0         0
GENVAST-F                  1X10'S            0         0         0         0
GENXVAST-10                1X10'S            0         0         0         0
GOCAN 150MG                1X1'S           810         0       195       615
HeadRIX tab                10's              0        20        20         0
ITBOR 100MG                10'S            168         0        75        93
ITBORE 200 MG              1X10'S           69         0         0        69
LAZ-250 T                  1X6'S            66         0         0        66
LAZ-500 T                  1X3'S            54         0         0        54
LAZINE M TAB               1X10'S           22         0         0        22
LAZINE TAB                 10'S             60         0         0        60
LAZINE-5                   1X10'S            0         0         0         0
LULIBOR CR BIG             30GMS            50         0         0        50
LULIBOR CR SMALL           15G               7         0         0         7
MOIST JAR                  50 G             55         0        36        19
OPAX 100DT  TABLETS        1X10'S          310         0         2       308
OPAX 50DT TAB              1X10'S            0         0         0         0
OPAX CV 100DT (TAB)        1X10'S           58        -5        45         8
OPAX CV 200                1X6'S             0         0         0         0
OPAX CV 50 DRY SY          1'S              68         0         0        68
OPAX-200                   1X10'S          125        -2         0       123
OPOX 100 DRY SY            1X30ML          297         0        50       247
OPOX 50 DRY SY             1X30ML          205         0         0       205
OPOX CV 200                1X10'S           44       124         0       168
OPOX CV 50DT TAB           1X10'S            0         0         0         0
OPOX CV100 DRY SY          1X30ML           82         0         0        82
PANTIN 40MG                10'S            126       300        60       366
PANTIN IV                  1X40MG         3792      4200      5095      2897
PANTIN RD TAB              1X10'S            0         0         0         0
PANTIN-D TAB               1X10'S          315       300       150       465
PANTIN-L TAB               1X10'S         1110         0        13      1097
TANZ TAB                   1X10'S            0         0         0         0
VERTIGEN TAB               1X10'S          123         0         0       123
ZINVITA TAB                30'S              0         0         0         0
------------------------------------------------------------------------------
TOTAL                                   292826     94495     89402    301829
------------------------------------------------------------------------------

