 ,ANAND AGENCY,,,,,,,,,,,,
 ,RAILWAY STATION ROAD, NAGAUR.,,,,,,,,,,,
 ,Stock Statement w.e.f.01/05/26 to 31/05/26   Pg.No. 1,,,,,,,,,,,,
 ,GENX PHARMA LIMITED HYDERABAD,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,Product name ,Packing ,Opng.Bal ,<---Receipts----> , ,  Totals ,<----------Issued---------> , , ,<---Clos.Bal----> , ,Expirable ,Dump Q
 , , , ,Purchase ,  Others , ,   Sales ,Qty*Rate ,  Others ,     Qty ,Qty*Rate ,180days ,60Dys
 ,,,,,,,,,,,,,
 ,AD-10 SACHET             ,1*1GM    ,100,50,    -- ,150,90,833.4,    -- ,60,555.6,    -- ,    --
 ,BILASET M TAB            ,1*10     ,32,    -- ,    -- ,32,    -- ,0,    -- ,32,1724,    -- ,32
 ,BILASET-20MG TAB         ,1*10     ,52,    -- ,    -- ,52,    -- ,0,    -- ,52,2183,    -- ,52
 ,BIXIVA TAB               ,1*10     ,20,    -- ,    -- ,20,10,1357.7,    -- ,10,1357.7,    -- ,    --
 ,GENXVAST-10 TAB.         ,1*10     ,50,    -- ,    -- ,50,35,467.25,    -- ,15,200.3,    -- ,5
 ,GENXVAST-20 TAB.         ,1*10     ,38,    -- ,    -- ,38,6,116.46,    -- ,32,621.1,    -- ,    --
 ,GOCAN-150 TAB.           ,1*1      ,150,    -- ,    -- ,150,90,510.3,    -- ,60,340.2,    -- ,    --
 ,HEADRIX TAB              ,1*2      ,30,    -- ,    -- ,30,    -- ,0,    -- ,30,3065.1,    -- ,30
 ,ITBOR 100 CAP            ,1*10     ,196,    -- ,    -- ,196,42,1677.9,    -- ,154,6152.3,    -- ,    --
 ,ITBOR 200 CAP            ,1*7      ,71,    -- ,    -- ,71,26,2064.51,    -- ,45,3573.2,    -- ,2
 ,LAZ-250 TAB.             ,1*6      ,20,    -- ,    -- ,20,    -- ,0,    -- ,20,862.6,    -- ,20
 ,LAZ-500 TAB.             ,1*5      ,16,    -- ,    -- ,16,    -- ,0,    -- ,16,1215,    -- ,16
 ,LAZINE M TAB             ,1*10     ,    -- ,    -- ,    -- ,    -- ,    -- ,0,    -- ,    -- ,    -- ,    -- ,    --
 ,LULIBOR 1% CREAM         ,1*30GM   ,60,    -- ,    -- ,60,26,2784.34,    -- ,34,3641.1,    -- ,    --
 ,LULIBOR CREAM            ,1*15GM   ,    -- ,    -- ,    -- ,    -- ,    -- ,0,    -- ,    -- ,    -- ,    -- ,    --
 ,LULIBOR LOTION ADVANCE   ,1*30ML   ,    -- ,    -- ,    -- ,    -- ,    -- ,0,    -- ,    -- ,    -- ,    -- ,    --
 ,OPOX DROPS               ,1*10ML   ,38,    -- ,    -- ,38,10,492.29,    -- ,28,1378.4,    -- ,    --
 ,OPOX-100 DRY.            ,1*30ML   ,50,    -- ,    -- ,50,4,292.51,    -- ,46,3363.9,3,5
 ,OPOX-100 DT TAB.         ,1*10     ,    -- ,    -- ,    -- ,    -- ,    -- ,0,    -- ,    -- ,    -- ,    -- ,    --
 ,OPOX-200 TAB.            ,1*10     ,1,    -- ,    -- ,1,    -- ,0,    -- ,1,84.9,1,1
 ,OPOX-50 DRY.             ,1*30ML   ,41,    -- ,    -- ,41,    -- ,0,    -- ,41,1688,1,1
 ,OPOX-50 DT TAB.          ,1*10     ,50,    -- ,    -- ,50,    -- ,0,    -- ,50,2207.7,    -- ,    --
 ,OPOX-CV 100 DRY.         ,1*30ML   ,65,    -- ,    -- ,65,    -- ,0,    -- ,65,5831.8,65,    --
 ,OPOX-CV 100 TAB.         ,1*10     ,    -- ,    -- ,    -- ,    -- ,    -- ,0,    -- ,    -- ,    -- ,    -- ,    --
 ,OPOX-CV 200 TAB.         ,1*10     ,    -- ,    -- ,    -- ,    -- ,    -- ,0,    -- ,    -- ,    -- ,    -- ,    --
 ,OPOX-CV 50 DRY.          ,1*30ML   ,58,    -- ,    -- ,58,10,617.7,    -- ,48,2965,48,48
 ,PANTIN 40 TAB            ,1*10     ,    -- ,    -- ,    -- ,    -- ,    -- ,0,    -- ,    -- ,    -- ,    -- ,    --
 ,PANTIN D CAP             ,1*10     ,114,90,3,207,116,4963.64,    -- ,91,3893.9,    -- ,    --
 ,PANTIN L CAP.            ,1*10     ,140,    -- ,    -- ,140,25,1903.41,    -- ,115,8755.7,    -- ,    --
 ,PANTIN-IV                ,1*1VIAL  ,2269,1750,17,4036,2874,30249.71,    -- ,1162,12230.4,2,2
 ,TANZ TAB                 ,1*10     ,    -- ,    -- ,    -- ,    -- ,    -- ,0,    -- ,    -- ,    -- ,    -- ,    --
 ,VERTIGEN TAB             ,1*10     ,63,    -- ,    -- ,63,30,1818.9,    -- ,33,2000.8,    -- ,    --
 ,,,,,,,,,,,,,
 ,Sale of period: 62564.83   GST:    3128.42 Cumulative :        0.00 , Total stock as on :31/05/26     69891.49,,,,,,,,,,,
 ,Total cost of near expiry items:    9163.27 ,Total cost of dump stock more than 60 days:   12752.99,,,,,,,,,,,
 ,Purchase of period:      22828.80 GSTBase:   21687.34  GST:    1141.46,,,,,,,,,,,,
 ,Total G/R credit for above period:       0.00 Cumulative G/R credit:       0.00,,,,,,,,,,,,
 ,Purchase INV.5680030057(21/05/2026),,,,,,,,,,,,
 ,,,,,,,,,,,,,
